Two or More Races,DPSTTWFC,DPSTTWFP,SPSTTWFC,SPSTTWFP,,,,,,,,,,,
Males Females,DPSTMAFC DPSTFEFC,DPSTMAFP DPSTFEFP,SPSTMAFC SPSTFEFC,SPSTMAFP SPSTFEFP,,,,,,,,,,,
Teachers by Highest Degree Held:,,,,,,,,,,,,,,,
No Degree,DPSTNOFC,DPSTNOFP,SPSTNOFC,SPSTNOFP,,,,,,,,,,,
Bachelors Masters Doctorate,DPSTBAFC DPSTMSFC DPSTPHFC,DPSTBAFP DPSTMSFP DPSTPHFP,SPSTBAFC SPSTMSFC SPSTPHFC,SPSTBAFP SPSTMSFP SPSTPHFP,,,,,,,,,,,
Teachers by Years of Experience:,,,,,,,,,,,,,,,
Beginning Teachers,DPST00FC,DPST00FP,SPST00FC,SPST00FP,,,,,,,,,,,
1-5 Years Experience,DPST01FC,DPST01FP,SPST01FC,SPST01FP,,,,,,,,,,,
6-10 Years Experience,DPST06FC,DPST06FP,SPST06FC,SPST06FP,,,,,,,,,,,
11-20 Years Experience,DPST11FC,DPST11FP,SPST11FC,SPST11FP,,,,,,,,,,,
Over 20 Years Experience,DPST20FC,DPST20FP,SPST20FC,SPST20FP,,,,,,,,,,,
Number of Students per Teacher,DPSTKIDR,N/A,SPSTKIDR,N/A,,,,,,,,,,,
,,,,,,,,,,,,,,,
Staff Information,District,State,,,,,,,,,,,,,
Experience of Campus Leadership :,,,,,,,,,,,,,,,
Average Years Experience of Principals,DPSHEXPA,SPSHEXPA,,,,,,,,,,,,,
Average Years Experience of Principals with District,DPSHTENA,SPSHTENA,,,,,,,,,,,,,
Average Years Experience of Assistant Principals,DPSLEXPA,SPSLEXPA,,,,,,,,,,,,,
Average Years Experience of Assistant Principals with District,DPSLTENA,SPSLTENA,,,,,,,,,,,,,
Average Years Experience of Teachers:,DPSTEXPA,SPSTEXPA,,,,,,,,,,,,,
Average Years Experience of Teachers with District:,DPSTTENA,SPSTTENA,,,,,,,,,,,,,
Average Teacher Salary by Years of Experience (regular duties only): Beginning Teachers,DPST00SA,SPST00SA,,,,,,,,,,,,,
1-5 Years Experience,DPST01SA,SPST01SA,,,,,,,,,,,,,
6-10 Years Experience,DPST06SA,SPST06SA,,,,,,,,,,,,,
11-20 Years Experience,DPST11SA,SPST11SA,,,,,,,,,,,,,
Over 20 Years Experience,DPST20SA,SPST20SA,,,,,,,,,,,,,
Average Actual Salaries (regular duties only):,,,,,,,,,,,,,,,
Teachers,DPSTTOSA,SPSTTOSA,,,,,,,,,,,,,
Professional Support,DPSUTOSA,SPSUTOSA,,,,,,,,,,,,,
Campus Administration (School Leadership),DPSSTOSA,SPSSTOSA,,,,,,,,,,,,,
Central Administration,DPSCTOSA,SPSCTOSA,,,,,,,,,,,,,
Instructional Staff Percent:,DPSAINHP,SPSAINHP,,,,,,,,,,,,,
Turnover Rate for Teachers:,DPSTURNR,SPSTURNR,,,,,,,,,,,,,
Staff Exclusions:,,,,,,,,,,,,,,,
Shared Services Arrangement Staff:,,,,,,,,,,,,,,,
Professional Staff,DPSPCOFC,SPSPCOFC,,,,,,,,,,,,,
Educational Aides,DPSECOFC,SPSECOFC,,,,,,,,,,,,,
Auxiliary Staff,DPSXCOFC,SPSXCOFC,,,,,,,,,,,,,
Contracted Instructional Staff:,DPSOTOFC,SPSOTOFC,,,,,,,,,,,,,
Instructional Expenditure Ratio (download only),DPFEIERP,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Program Information,"---------------- District
Count","----------------
Percent","----------------- Count
State","Percent
-----------------",,,,,,,,,,,
Student Enrollment by Program:,,,,,,,,,,,,,,,
Bilingual/ESL Education,DPETBILC,DPETBILP,SPETBILC,SPETBILP,,,,,,,,,,,
Career & Technical Education Gifted & Talented Education,DPETVOCC DPETGIFC,"DPETVOCP DPETGIFP
:unselected:",SPETVOCC SPETGIFC,SPETVOCP SPETGIFP,,,,,,,,,,,
Special Education,DPETSPEC,DPETSPEP,SPETSPEC,SPETSPEP,,,,,,,,,,,
Teachers by Program (population served):,,,,,,,,,,,,,,,
Bilingual/ESL Education,DPSTBIFC,DPSTBIFP,SPSTBIFC,SPSTBIFP,,,,,,,,,,,
Career & Technical Education,DPSTVOFC,DPSTVOFP,SPSTVOFC,SPSTVOFP,,,,,,,,,,,
Compensatory Education,DPSTCOFC,DPSTCOFP,SPSTCOFC,SPSTCOFP,,,,,,,,,,,
Gifted & Talented Education,DPSTGIFC,DPSTGIFP,SPSTGIFC,SPSTGIFP,,,,,,,,,,,
Regular Education,"DPSTREFC
:unselected:",DPSTREFP,SPSTREFC,SPSTREFP,,,,,,,,,,,
Special Education,DPSTSPFC,DPSTSPFP,SPSTSPFC,SPSTSPFP,,,,,,,,,,,
Other,DPSTOPFC,DPSTOPFP,SPSTOPFC,SPSTOPFP,,,,,,,,,,,
,,,,,,,,,,,,,,,
