Reading Mathematics,2017 2016 2017 2016,SA00AR02G17R SA00AR02G16R SA00AM02G17R SA00AM02G16R,RA00AR02G17R RA00AR02G16R RA00AM02G17R RA00AM02G16R,"DA00AR02G17R DA00AR02G16R DA00AM02G17R DA00AM02G16R
:unselected:
:unselected:
:unselected:
:unselected:","DB00AR02G17R DB00AR02G16R DB00AM02G17R DB00AM02G16R
:unselected:
:unselected:
:unselected:
:unselected:","DH00AR02G17R DH00AR02G16R DH00AM02G17R DH00AM02G16R
:unselected:
:unselected:
:unselected:
:unselected:","DW00AR02G17R DW00AR02G16R DW00AM02G17R DW00AM02G16R
:unselected:
:unselected:
:unselected:
:unselected:","DI00AR02G17R DI00AR02G16R DI00AM02G17R DI00AM02G16R
:unselected:
:unselected:
:unselected:
:unselected:",D300AR02G17R D300AR02G16R D300AM02G17R D300AM02G16R,D400AR02G17R D400AR02G16R D400AM02G17R D400AM02G16R,D200AR02G17R D200AR02G16R D200AM02G17R D200AM02G16R,DS00AR02G17R DS00AR02G16R DS00AM02G17R DS00AM02G16R,DE00AR02G17R DE00AR02G16R DE00AM02G17R DE00AM02G16R,D000AR02G17R D000AR02G16R D000AM02G17R D000AM02G16R,
STAAR Percent Exceeded Progress,,,,,,,,,,,,,,,
All Grades,,,,,,,,,,,,,,,
All Subjects Reading,2017 2016 2017 2016,SA00A002E17R SA00A002E16R SA00AR02E17R SA00AR02E16R,RA00A002E17R RA00A002E16R RA00AR02E17R RA00AR02E16R,"DA00A002E17R DA00A002E16R DA00AR02E17R DA00AR02E16R
:unselected:
:unselected:
:unselected:
:unselected:","DB00A002E17R DB00A002E16R DB00AR02E17R DB00AR02E16R
:unselected:
:unselected:
:unselected:
:unselected:","DH00A002E17R DH00A002E16R DH00AR02E17R DH00AR02E16R
:unselected:
:unselected:
:unselected:
:unselected:","DW00A002E17R DW00A002E16R DW00AR02E17R DW00AR02E16R
:unselected:
:unselected:
:unselected:
:unselected:","DI00A002E17R DI00A002E16R DI00AR02E17R DI00AR02E16R
:unselected:
:unselected:
:unselected:
:unselected:",D300A002E17R D300A002E16R D300AR02E17R D300AR02E16R,D400A002E17R D400A002E16R D400AR02E17R D400AR02E16R,D200A002E17R D200A002E16R D200AR02E17R D200AR02E16R,DS00A002E17R DS00A002E16R DS00AR02E17R DS00AR02E16R,DE00A002E17R DE00A002E16R DE00AR02E17R DE00AR02E16R,D000A002E17R D000A002E16R D000AR02E17R D000AR02E16R,
Mathematics,2017 2016,SA00AM02E17R SA00AM02E16R,RA00AM02E17R RA00AM02E16R,"DA00AM02E17R DA00AM02E16R
:unselected:
:unselected:","DB00AM02E17R DB00AM02E16R
:unselected:
:unselected:","DH00AM02E17R DH00AM02E16R
:unselected:
:unselected:","DW00AM02E17R DW00AM02E16R
:unselected:
:unselected:","DI00AM02E17R DI00AM02E16R
:unselected:
:unselected:",D300AM02E17R D300AM02E16R,D400AM02E17R D400AM02E16R,D200AM02E17R D200AM02E16R,DS00AM02E17R DS00AM02E16R,DE00AM02E17R DE00AM02E16R,D000AM02E17R D000AM02E16R,
Progress of Prior Year Non-Proficient Students,,,,,,,,,,,,,,,
Sum of Grades 4-8,,,,,,,,,,,,,,,
Reading,2017,SA408FR17R,RA408FR17R,"DA408FR17R
:unselected:","DB408FR17R
:unselected:","DH408FR17R
:unselected:","DW408FR17R
:unselected:",DI408FR17R,D3408FR17R,D4408FR17R,D2408FR17R,DS408FR17R,DE408FR17R,DL408FR17R,
,2016,SA408FR16R,RA408FR16R,"DA408FR16R
:unselected:","DB408FR16R
:unselected:","DH408FR16R
:unselected:","DW408FR16R
:unselected:",DI408FR16R,D3408FR16R,D4408FR16R,D2408FR16R,DS408FR16R,DE408FR16R,DL408FR16R,
Mathematics,2017,SA408FM17R,RA408FM17R,"DA408FM17R
:unselected:","DB408FM17R
:unselected:","DH408FM17R
:unselected:","DW408FM17R
:unselected:",DI408FM17R,D3408FM17R,D4408FM17R,D2408FM17R,DS408FM17R,DE408FM17R,DL408FM17R,
,,,,,,,,,,,,,,,
State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL^,,,
Student Success Initiative,,,,,,,,,,,,,,,
Grade 5 Reading,,,,,,,,,,,,,,,
"Students Meeting Approaches Grade Level
2017 SA05AREP517R","on First STAAR
RA05AREP517R","Administration
DA05AREP517R
:unselected:","DB05AREP517R
:unselected:","DH05AREP517R
:unselected:","DW05AREP517R
:unselected:","DI05AREP517R
:unselected:",D305AREP517R,D405AREP517R,D205AREP517R,DS05AREP517R,DE05AREP517R,DL05AREP517R,,,
Students Requiring Accelerated Instruction 2017 SA05AREF517R,RA05AREF517R,"DA05AREF517R
:unselected:","DB05AREF517R
:unselected:","DH05AREF517R
:unselected:","DW05AREF517R
:unselected:","DI05AREF517R
:unselected:",D305AREF517R,D405AREF517R,D205AREF517R,DS05AREF517R,DE05AREF517R,DL05AREF517R,,,
STAAR Cumulative Met Standard 2017 SA05AREC517R,RA05AREC517R,"DA05AREC517R
:unselected:","DB05AREC517R
:unselected:","DH05AREC517R
:unselected:","DW05AREC517R
:unselected:","DI05AREC517R
:unselected:",D305AREC517R,"D405AREC517R
:unselected:",D205AREC517R,DS05AREC517R,DE05AREC517R,DL05AREC517R,,,
Grade 5 Mathematics,,,,,,,,,,,,,,,
"Students Meeting Approaches Grade Level
2017 SA05AMAP517R","on First STAAR
RA05AMAP517R","Administration
DA05AMAP517R
:unselected:","DB05AMAP517R
:unselected:","DH05AMAP517R
:unselected:","DW05AMAP517R
:unselected:","DI05AMAP517R
:unselected:",D305AMAP517R,"D405AMAP517R
:unselected:",D205AMAP517R,DS05AMAP517R,DE05AMAP517R,DL05AMAP517R,,,
Students Requiring Accelerated Instruction 2017 SA05AMAF517R,RA05AMAF517R,"DA05AMAF517R
:unselected:","DB05AMAF517R
:unselected:","DH05AMAF517R
:unselected:","DW05AMAF517R
:unselected:","DI05AMAF517R
:unselected:",D305AMAF517R,"D405AMAF517R
:unselected:","D205AMAF517R
:unselected:",DS05AMAF517R,DE05AMAF517R,DL05AMAF517R,,,
STAAR Cumulative Met Standard 2017 SA05AMAC517R,RA05AMAC517R,"DA05AMAC517R
:unselected:","DB05AMAC517R
:unselected:","DH05AMAC517R
:unselected:","DW05AMAC517R
:unselected:","DI05AMAC517R
:unselected:",D305AMAC517R,"D405AMAC517R
:unselected:","D205AMAC517R
:unselected:",DS05AMAC517R,DE05AMAC517R,DL05AMAC517R,,,
Grade 8 Reading,,,,,,,,,,,,,,,
"Students Meeting Approaches Grade Level
2017 SA08AREP517R","on First STAAR
RA08AREP517R","Administration
DA08AREP517R
:unselected:","DB08AREP517R
:unselected:","DH08AREP517R
:unselected:","DW08AREP517R
:unselected:","DI08AREP517R
:unselected:","D308AREP517R
:unselected:","D408AREP517R
:unselected:",D208AREP517R,DS08AREP517R,DE08AREP517R,DL08AREP517R,,,
Students Requiring Accelerated Instruction 2017 SA08AREF517R,RA08AREF517R,"DA08AREF517R
:unselected:","DB08AREF517R
:unselected:","DH08AREF517R
:unselected:","DW08AREF517R
:unselected:","DI08AREF517R
:unselected:","D308AREF517R
:unselected:","D408AREF517R
:unselected:",D208AREF517R,DS08AREF517R,DE08AREF517R,DL08AREF517R,,,
STAAR Cumulative Met Standard 2017 SA08AREC517R,RA08AREC517R,"DA08AREC517R
:unselected:","DB08AREC517R
:unselected:","DH08AREC517R
:unselected:","DW08AREC517R
:unselected:","DI08AREC517R
:unselected:","D308AREC517R
:unselected:","D408AREC517R
:unselected:",D208AREC517R,DS08AREC517R,DE08AREC517R,DL08AREC517R,,,
Grade 8 Mathematics,,,,,,,,,,,,,,,
"Students Meeting Approaches Grade Level
2017 SA08AMAP517R","on First STAAR
RA08AMAP517R","Administration
DA08AMAP517R
:unselected:","DB08AMAP517R
:unselected:","DH08AMAP517R
:unselected:","DW08AMAP517R
:unselected:","DI08AMAP517R
:unselected:","D308AMAP517R
:unselected:",D408AMAP517R,D208AMAP517R,DS08AMAP517R,DE08AMAP517R,DL08AMAP517R,,,
Students Requiring Accelerated Instruction 2017 SA08AMAF517R,RA08AMAF517R,"DA08AMAF517R
:unselected:","DB08AMAF517R
:unselected:","DH08AMAF517R
:unselected:","DW08AMAF517R
:unselected:","DI08AMAF517R
:unselected:",D308AMAF517R,D408AMAF517R,D208AMAF517R,DS08AMAF517R,DE08AMAF517R,DL08AMAF517R,,,
STAAR Cumulative Met Standard 2017 SA08AMAC517R,RA08AMAC517R,"DA08AMAC517R
:unselected:","DB08AMAC517R
:unselected:","DH08AMAC517R
:unselected:","DW08AMAC517R
:unselected:","DI08AMAC517R
:unselected:",D308AMAC517R,D408AMAC517R,D208AMAC517R,DS08AMAC517R,DE08AMAC517R,DL08AMAC517R,,,
,,,,,,,,,,,,,,,
,,State,Region ##,District,Bilingual Education,BE-Trans Early Exit,BE-Trans Late Exit,BE-Dual Two-Way,BE-Dual One-Way,ESL,ESL Content,ESL Pull-Out,LEP No Services,LEP With Services,Total ELL
STAAR Percent at Approaches Grade Level or Above All Grades,,,,,,,,,,,,,,,
All Subjects,2017 2016,SA00A001S17R SA00A001S16R,RA00A001S17R RA00A001S16R,"DA00A001S17R DA00A001S16R
:unselected:
:unselected:","DU00A001S17R DU00A001S16R
:unselected:
:unselected:","DJ00A001S17R DJ00A001S16R
:unselected:
:unselected:","DK00A001S17R DK00A001S16R
:unselected:
:unselected:","DQ00A001S17R DQ00A001S16R
:unselected:
:unselected:","DT00A001S17R DT00A001S16R
:unselected:
:unselected:","DC00A001S17R DC00A001S16R
:unselected:
:unselected:","DX00A001S17R DX00A001S16R
:unselected:
:unselected:","DY00A001S17R DY00A001S16R
:unselected:
:unselected:","DZ00A001S17R DZ00A001S16R
:unselected:
:unselected:","D500A001S17R D500A001S16R
:unselected:
:unselected:",DL00A001S17R DL00A001S16R
Reading,2017,SA00AR01S17R,RA00AR01S17R,"DA00AR01S17R
:unselected:","DU00AR01S17R
:unselected:","DJ00AR01S17R
:unselected:","DK00AR01S17R
:unselected:","DQ00AR01S17R
:unselected:","DT00AR01S17R
:unselected:",DC00AR01S17R,"DX00AR01S17R
:unselected:","DY00AR01S17R
:unselected:","DZ00AR01S17R
:unselected:","D500AR01S17R
:unselected:",DL00AR01S17R
,2016,SA00AR01S16R,RA00AR01S16R,"DA00AR01S16R
:unselected:","DU00AR01S16R
:unselected:","DJ00AR01S16R
:unselected:","DK00AR01S16R
:unselected:","DQ00AR01S16R
:unselected:","DT00AR01S16R
:unselected:","DC00AR01S16R
:unselected:","DX00AR01S16R
:unselected:","DY00AR01S16R
:unselected:","DZ00AR01S16R
:unselected:","D500AR01S16R
:unselected:",DL00AR01S16R
Mathematics,2017 2016,SA00AM01S17R SA00AM01S16R,RA00AM01S17R RA00AM01S16R,"DA00AM01S17R DA00AM01S16R
:unselected:
:unselected:","DU00AM01S17R DU00AM01S16R
:unselected:
:unselected:","DJ00AM01S17R DJ00AM01S16R
:unselected:
:unselected:","DK00AM01S17R DK00AM01S16R
:unselected:
:unselected:","DQ00AM01S17R DQ00AM01S16R
:unselected:
:unselected:","DT00AM01S17R DT00AM01S16R
:unselected:
:unselected:","DC00AM01S17R DC00AM01S16R
:unselected:
:unselected:","DX00AM01S17R DX00AM01S16R
:unselected:
:unselected:","DY00AM01S17R DY00AM01S16R
:unselected:
:unselected:","DZ00AM01S17R DZ00AM01S16R
:unselected:
:unselected:","D500AM01S17R D500AM01S16R
:unselected:
:unselected:",DL00AM01S17R DL00AM01S16R
Writing,2017,SA00AW01S17R,RA00AW01S17R,"DA00AW01S17R
:unselected:","DU00AW01S17R
:unselected:","DJ00AW01S17R
:unselected:","DK00AW01S17R
:unselected:","DQ00AW01S17R
:unselected:","DT00AW01S17R
:unselected:","DC00AW01S17R
:unselected:","DX00AW01S17R
:unselected:","DY00AW01S17R
:unselected:","DZ00AW01S17R
:unselected:","D500AW01S17R
:unselected:",DL00AW01S17R
,2016,SA00AW01S16R,RA00AW01S16R,"DA00AW01S16R
:unselected:","DU00AW01S16R
:unselected:","DJ00AW01S16R
:unselected:","DK00AW01S16R
:unselected:","DQ00AW01S16R
:unselected:","DT00AW01S16R
:unselected:","DC00AW01S16R
:unselected:","DX00AW01S16R
:unselected:","DY00AW01S16R
:unselected:","DZ00AW01S16R
:unselected:","D500AW01S16R
:unselected:",DL00AW01S16R
Science,2017 2016,SA00AC01S17R SA00AC01S16R,RA00AC01S17R RA00AC01S16R,"DA00AC01S17R DA00AC01S16R
:unselected:
:unselected:","DU00AC01S17R DU00AC01S16R
:unselected:
:unselected:","DJ00AC01S17R DJ00AC01S16R
:unselected:
:unselected:","DK00AC01S17R DK00AC01S16R
:unselected:
:unselected:","DQ00AC01S17R DQ00AC01S16R
:unselected:
:unselected:","DT00AC01S17R DT00AC01S16R
:unselected:
:unselected:","DC00AC01S17R DC00AC01S16R
:unselected:","DX00AC01S17R DX00AC01S16R
:unselected:
:unselected:","DY00AC01S17R DY00AC01S16R
:unselected:
:unselected:","DZ00AC01S17R DZ00AC01S16R
:unselected:","D500AC01S17R D500AC01S16R
:unselected:
:unselected:",DL00AC01S17R DL00AC01S16R
Social Studies,2017 2016,SA00AS01S17R SA00AS01S16R,RA00AS01S17R RA00AS01S16R,"DA00AS01S17R DA00AS01S16R
:unselected:
:unselected:","DU00AS01S17R DU00AS01S16R
:unselected:
:unselected:","DJ00AS01S17R DJ00AS01S16R
:unselected:
:unselected:","DK00AS01S17R DK00AS01S16R
:unselected:
:unselected:","DQ00AS01S17R DQ00AS01S16R
:unselected:
:unselected:","DT00AS01S17R DT00AS01S16R
:unselected:
:unselected:","DC00AS01S17R DC00AS01S16R
:unselected:
:unselected:","DX00AS01S17R DX00AS01S16R
:unselected:
:unselected:","DY00AS01S17R DY00AS01S16R
:unselected:
:unselected:","DZ00AS01S17R DZ00AS01S16R
:unselected:
:unselected:","D500AS01S17R D500AS01S16R
:unselected:
:unselected:",DL00AS01S17R DL00AS01S16R
STAAR Percent at Meets Grade Level,,,,,,,,,,,,,,,
All Grades,,,,,,,,,,,,,,,
Two or More Subjects,2017,SA00A004217R,RA00A004217R,"DA00A004217R
:unselected:","DU00A004217R
:unselected:","DJ00A004217R
:unselected:","DK00A004217R
:unselected:","DQ00A004217R
:unselected:","DT00A004217R
:unselected:","DC00A004217R
:unselected:","DX00A004217R
:unselected:","DY00A004217R
:unselected:","DZ00A004217R
:unselected:","D500A004217R
:unselected:",DL00A004217R
,2016,SA00A004216R,RA00A004216R,"DA00A004216R
:unselected:","DU00A004216R
:unselected:","DJ00A004216R
:unselected:","DK00A004216R
:unselected:","DQ00A004216R
:unselected:","DT00A004216R
:unselected:","DC00A004216R
:unselected:","DX00A004216R
:unselected:","DY00A004216R
:unselected:","DZ00A004216R
:unselected:","D500A004216R
:unselected:",DL00A004216R
Reading,2017,SA00AR04217R,RA00AR04217R,"DA00AR04217R
:unselected:","DU00AR04217R
:unselected:","DJ00AR04217R
:unselected:","DK00AR04217R
:unselected:","DQ00AR04217R
:unselected:","DT00AR04217R
:unselected:","DC00AR04217R
:unselected:","DX00AR04217R
:unselected:","DY00AR04217R
:unselected:","DZ00AR04217R
:unselected:","D500AR04217R
:unselected:",DL00AR04217R
,2016,SA00AR04216R,RA00AR04216R,"DA00AR04216R
:unselected:","DU00AR04216R
:unselected:","DJ00AR04216R
:unselected:","DK00AR04216R
:unselected:","DQ00AR04216R
:unselected:","DT00AR04216R
:unselected:","DC00AR04216R
:unselected:","DX00AR04216R
:unselected:","DY00AR04216R
:unselected:","DZ00AR04216R
:unselected:","D500AR04216R
:unselected:",DL00AR04216R
Mathematics,2017,SA00AM04217R,RA00AM04217R,"DA00AM04217R
:unselected:","DU00AM04217R
:unselected:","DJ00AM04217R
:unselected:","DK00AM04217R
:unselected:","DQ00AM04217R
:unselected:","DT00AM04217R
:unselected:","DC00AM04217R
:unselected:","DX00AM04217R
:unselected:","DY00AM04217R
:unselected:","DZ00AM04217R
:unselected:","D500AM04217R
:unselected:",DL00AM04217R
,2016,SA00AM04216R,RA00AM04216R,"DA00AM04216R
:unselected:","DU00AM04216R
:unselected:","DJ00AM04216R
:unselected:","DK00AM04216R
:unselected:","DQ00AM04216R
:unselected:","DT00AM04216R
:unselected:","DC00AM04216R
:unselected:","DX00AM04216R
:unselected:","DY00AM04216R
:unselected:","DZ00AM04216R
:unselected:","D500AM04216R
:unselected:",DL00AM04216R
Writing,2017,SA00AW04217R,RA00AW04217R,"DA00AW04217R
:unselected:","DU00AW04217R
:unselected:","DJ00AW04217R
:unselected:",DK00AW04217R,"DQ00AW04217R
:unselected:","DT00AW04217R
:unselected:",DC00AW04217R,"DX00AW04217R
:unselected:","DY00AW04217R
:unselected:","DZ00AW04217R
:unselected:","D500AW04217R
:unselected:",DL00AW04217R
,2016,SA00AW04216R,RA00AW04216R,"DA00AW04216R
:unselected:","DU00AW04216R
:unselected:","DJ00AW04216R
:unselected:","DK00AW04216R
:unselected:","DQ00AW04216R
:unselected:","DT00AW04216R
:unselected:","DC00AW04216R
:unselected:","DX00AW04216R
:unselected:","DY00AW04216R
:unselected:","DZ00AW04216R
:unselected:","D500AW04216R
:unselected:",DL00AW04216R
Science,2017,SA00AC04217R,RA00AC04217R,"DA00AC04217R
:unselected:","DU00AC04217R
:unselected:","DJ00AC04217R
:unselected:","DK00AC04217R
:unselected:","DQ00AC04217R
:unselected:","DT00AC04217R
:unselected:","DC00AC04217R
:unselected:","DX00AC04217R
:unselected:","DY00AC04217R
:unselected:","DZ00AC04217R
:unselected:","D500AC04217R
:unselected:",DL00AC04217R
,2016,SA00AC04216R,RA00AC04216R,"DA00AC04216R
:unselected:","DU00AC04216R
:unselected:","DJ00AC04216R
:unselected:","DK00AC04216R
:unselected:","DQ00AC04216R
:unselected:","DT00AC04216R
:unselected:","DC00AC04216R
:unselected:","DX00AC04216R
:unselected:","DY00AC04216R
:unselected:",DZ00AC04216R,D500AC04216R,DL00AC04216R
Social Studies,2017 2016,SA00AS04217R SA00AS04216R,RA00AS04217R RA00AS04216R,"DA00AS04217R DA00AS04216R
:unselected:
:unselected:","DU00AS04217R DU00AS04216R
:unselected:
:unselected:","DJ00AS04217R DJ00AS04216R
:unselected:
:unselected:","DK00AS04217R DK00AS04216R
:unselected:
:unselected:","DQ00AS04217R DQ00AS04216R
:unselected:
:unselected:","DT00AS04217R DT00AS04216R
:unselected:
:unselected:","DC00AS04217R DC00AS04216R
:unselected:
:unselected:","DX00AS04217R DX00AS04216R
:unselected:
:unselected:","DY00AS04217R DY00AS04216R
:unselected:
:unselected:","DZ00AS04217R DZ00AS04216R
:unselected:","D500AS04217R D500AS04216R
:unselected:",DL00AS04217R DL00AS04216R
STAAR Percent at Masters Grade Level,,,,,,,,,,,,,,,
All Grades,,,,,,,,,,,,,,,
All Subjects,2017,SA00A003A17R,RA00A003A17R,"DA00A003A17R
:unselected:","DU00A003A17R
:unselected:","DJ00A003A17R
:unselected:","DK00A003A17R
:unselected:","DQ00A003A17R
:unselected:","DT00A003A17R
:unselected:","DC00A003A17R
:unselected:","DX00A003A17R
:unselected:","DY00A003A17R
:unselected:","DZ00A003A17R
:unselected:",D500A003A17R,DL00A003A17R
,2016,SA00A003A16R,RA00A003A16R,"DA00A003A16R
:unselected:","DU00A003A16R
:unselected:","DJ00A003A16R
:unselected:","DK00A003A16R
:unselected:","DQ00A003A16R
:unselected:","DT00A003A16R
:unselected:","DC00A003A16R
:unselected:","DX00A003A16R
:unselected:","DY00A003A16R
:unselected:",DZ00A003A16R,"D500A003A16R
:unselected:",DL00A003A16R
Reading,2017,SA00AR03A17R,RA00AR03A17R,"DA00AR03A17R
:unselected:","DU00AR03A17R
:unselected:","DJ00AR03A17R
:unselected:","DK00AR03A17R
:unselected:","DQ00AR03A17R
:unselected:","DT00AR03A17R
:unselected:","DC00AR03A17R
:unselected:","DX00AR03A17R
:unselected:","DY00AR03A17R
:unselected:","DZ00AR03A17R
:unselected:","D500AR03A17R
:unselected:",DL00AR03A17R
,2016,SA00AR03A16R,RA00AR03A16R,"DA00AR03A16R
:unselected:","DU00AR03A16R
:unselected:","DJ00AR03A16R
:unselected:","DK00AR03A16R
:unselected:","DQ00AR03A16R
:unselected:","DT00AR03A16R
:unselected:",DC00AR03A16R,"DX00AR03A16R
:unselected:","DY00AR03A16R
:unselected:","DZ00AR03A16R
:unselected:","D500AR03A16R
:unselected:",DL00AR03A16R
Mathematics,2017,SA00AM03A17R,RA00AM03A17R,"DA00AM03A17R
:unselected:","DU00AM03A17R
:unselected:","DJ00AM03A17R
:unselected:","DK00AM03A17R
:unselected:","DQ00AM03A17R
:unselected:","DT00AM03A17R
:unselected:","DC00AM03A17R
:unselected:","DX00AM03A17R
:unselected:","DY00AM03A17R
:unselected:","DZ00AM03A17R
:unselected:","D500AM03A17R
:unselected:",DL00AM03A17R
,2016,SA00AM03A16R,RA00AM03A16R,"DA00AM03A16R
:unselected:","DU00AM03A16R
:unselected:","DJ00AM03A16R
:unselected:","DK00AM03A16R
:unselected:","DQ00AM03A16R
:selected:","DT00AM03A16R
:unselected:","DC00AM03A16R
:unselected:","DX00AM03A16R
:unselected:","DY00AM03A16R
:unselected:","DZ00AM03A16R
:unselected:",D500AM03A16R,DL00AM03A16R
Writing,2017,SA00AW03A17R,RA00AW03A17R,"DA00AW03A17R
:unselected:","DU00AW03A17R
:unselected:","DJ00AW03A17R
:unselected:","DK00AW03A17R
:unselected:","DQ00AW03A17R
:unselected:","DT00AW03A17R
:unselected:","DC00AW03A17R
:unselected:","DX00AW03A17R
:unselected:","DY00AW03A17R
:unselected:","DZ00AW03A17R
:unselected:",D500AW03A17R,DL00AW03A17R
,2016,SA00AW03A16R,RA00AW03A16R,"DA00AW03A16R
:unselected:","DU00AW03A16R
:unselected:","DJ00AW03A16R
:unselected:","DK00AW03A16R
:unselected:","DQ00AW03A16R
:selected:","DT00AW03A16R
:unselected:","DC00AW03A16R
:unselected:","DX00AW03A16R
:unselected:","DY00AW03A16R
:unselected:","DZ00AW03A16R
:unselected:","D500AW03A16R
:unselected:",DL00AW03A16R
Science,2017,SA00AC03A17R,RA00AC03A17R,"DA00AC03A17R
:unselected:","DU00AC03A17R
:unselected:","DJ00AC03A17R
:unselected:","DK00AC03A17R
:unselected:","DQ00AC03A17R
:unselected:","DT00AC03A17R
:unselected:",DC00AC03A17R,"DX00AC03A17R
:unselected:","DY00AC03A17R
:unselected:","DZ00AC03A17R
:unselected:","D500AC03A17R
:unselected:",DL00AC03A17R
,2016,SA00AC03A16R,RA00AC03A16R,"DA00AC03A16R
:unselected:","DU00AC03A16R
:unselected:","DJ00AC03A16R
:unselected:","DK00AC03A16R
:unselected:","DQ00AC03A16R
:unselected:","DT00AC03A16R
:unselected:","DC00AC03A16R
:unselected:","DX00AC03A16R
:unselected:","DY00AC03A16R
:unselected:","DZ00AC03A16R
:unselected:","D500AC03A16R
:unselected:",DL00AC03A16R
Social Studies,2017 2016,SA00AS03A17R SA00AS03A16R,RA00AS03A17R RA00AS03A16R,"DA00AS03A17R DA00AS03A16R
:unselected:
:unselected:","DU00AS03A17R DU00AS03A16R
:unselected:
:unselected:","DJ00AS03A17R DJ00AS03A16R
:unselected:
:unselected:","DK00AS03A17R DK00AS03A16R
:unselected:
:unselected:","DQ00AS03A17R DQ00AS03A16R
:unselected:
:unselected:","DT00AS03A17R DT00AS03A16R
:unselected:
:unselected:",DC00AS03A17R DC00AS03A16R,"DX00AS03A17R DX00AS03A16R
:unselected:
:unselected:","DY00AS03A17R DY00AS03A16R
:unselected:
:unselected:",DZ00AS03A17R DZ00AS03A16R,"D500AS03A17R D500AS03A16R
:unselected:",DL00AS03A17R DL00AS03A16R
STAAR Percent Met or Exceeded Progress,,,,,,,,,,,,,,,
All Grades,,,,,,,,,,,,,,,
All Subjects,2017,SA00A002G17R,RA00A002G17R,"DA00A002G17R
:unselected:","DU00A002G17R
:unselected:","DJ00A002G17R
:unselected:","DK00A002G17R
:unselected:","DQ00A002G17R
:unselected:","DT00A002G17R
:unselected:","DC00A002G17R
:unselected:","DX00A002G17R
:unselected:","DY00A002G17R
:unselected:","DZ00A002G17R
:unselected:","D500A002G17R
:unselected:",DL00A002G17R
Reading,2016 2017 2016,SA00A002G16R SA00AR02G17R SA00AR02G16R,RA00A002G16R RA00AR02G17R RA00AR02G16R,"DA00A002G16R DA00AR02G17R DA00AR02G16R
:unselected:
:unselected:
:unselected:","DU00A002G16R DU00AR02G17R DU00AR02G16R
:unselected:
:unselected:
:unselected:","DJ00A002G16R DJ00AR02G17R DJ00AR02G16R
:unselected:
:unselected:
:unselected:","DK00A002G16R DK00AR02G17R DK00AR02G16R
:unselected:
:unselected:
:unselected:","DQ00A002G16R DQ00AR02G17R DQ00AR02G16R
:unselected:
:unselected:
:unselected:","DT00A002G16R DT00AR02G17R DT00AR02G16R
:unselected:
:unselected:
:unselected:","DC00A002G16R DC00AR02G17R DC00AR02G16R
:unselected:
:unselected:
:unselected:","DX00A002G16R DX00AR02G17R DX00AR02G16R
:unselected:
:unselected:
:unselected:","DY00A002G16R DY00AR02G17R DY00AR02G16R
:unselected:
:unselected:
:unselected:","DZ00A002G16R DZ00AR02G17R DZ00AR02G16R
:unselected:
:unselected:
:unselected:","D500A002G16R D500AR02G17R D500AR02G16R
:unselected:
:unselected:
:unselected:",DL00A002G16R DL00AR02G17R DL00AR02G16R
Mathematics,2017 2016,SA00AM02G17R SA00AM02G16R,RA00AM02G17R RA00AM02G16R,"DA00AM02G17R DA00AM02G16R
:unselected:
:unselected:","DU00AM02G17R DU00AM02G16R
:unselected:
:unselected:","DJ00AM02G17R DJ00AM02G16R
:unselected:
:unselected:","DK00AM02G17R DK00AM02G16R
:unselected:
:unselected:","DQ00AM02G17R DQ00AM02G16R
:unselected:
:unselected:","DT00AM02G17R DT00AM02G16R
:unselected:
:unselected:","DC00AM02G17R DC00AM02G16R
:unselected:
:unselected:","DX00AM02G17R DX00AM02G16R
:unselected:
:unselected:","DY00AM02G17R DY00AM02G16R
:unselected:
:unselected:","DZ00AM02G17R DZ00AM02G16R
:unselected:","D500AM02G17R D500AM02G16R
:unselected:",DL00AM02G17R DL00AM02G16R
STAAR Percent Exceeded Progress,,,,,,,,,,,,,,,
All Grades,,,,,,,,,,,,,,,
All Subjects,2017,SA00A002E17R,RA00A002E17R,"DA00A002E17R
:unselected:","DU00A002E17R
:unselected:","DJ00A002E17R
:unselected:","DK00A002E17R
:unselected:","DQ00A002E17R
:unselected:","DT00A002E17R
:unselected:","DC00A002E17R
:unselected:","DX00A002E17R
:unselected:","DY00A002E17R
:unselected:","DZ00A002E17R
:unselected:",D500A002E17R,DL00A002E17R
,2016,SA00A002E16R,RA00A002E16R,"DA00A002E16R
:unselected:","DU00A002E16R
:unselected:","DJ00A002E16R
:unselected:","DK00A002E16R
:unselected:","DQ00A002E16R
:unselected:","DT00A002E16R
:unselected:","DC00A002E16R
:unselected:","DX00A002E16R
:unselected:","DY00A002E16R
:unselected:","DZ00A002E16R
:unselected:","D500A002E16R
:unselected:",DL00A002E16R
