DISTRICT,ASVAB_STATUS,CNTYNAME,COUNTY,DFLALTED,DFLCHART,DISTNAME,D_RATING,OUTCOME,REGION
"'047905"," ","COMANCHE","'047","N","N","SIDNEY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'14"
"'048901"," ","CONCHO","'048","N","N","EDEN CISD","Not Rated: Declared State of Disaster","Meets Requirements","'15"
"'048903"," ","CONCHO","'048","N","N","PAINT ROCK ISD","Not Rated: Declared State of Disaster","Meets Requirements","'15"
"'049901"," ","COOKE","'049","N","N","GAINESVILLE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'11"
"'049902"," ","COOKE","'049","N","N","MUENSTER ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'049903"," ","COOKE","'049","N","N","VALLEY VIEW ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'049905"," ","COOKE","'049","N","N","CALLISBURG ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'049906"," ","COOKE","'049","N","N","ERA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'049907"," ","COOKE","'049","N","N","LINDSAY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'049908"," ","COOKE","'049","N","N","WALNUT BEND ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'049909"," ","COOKE","'049","N","N","SIVELLS BEND ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'050901"," ","CORYELL","'050","N","N","EVANT ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'050902"," ","CORYELL","'050","N","N","GATESVILLE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'12"
"'050904"," ","CORYELL","'050","N","N","OGLESBY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'050909"," ","CORYELL","'050","N","N","JONESBORO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'050910"," ","CORYELL","'050","N","N","COPPERAS COVE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'12"
"'051901"," ","COTTLE","'051","N","N","PADUCAH ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'052901"," ","CRANE","'052","N","N","CRANE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'18"
"'053001"," ","CROCKETT","'053","N","N","CROCKETT COUNTY CONSOLIDATED CSD","Not Rated: Declared State of Disaster","Meets Requirements","'15"
"'054901"," ","CROSBY","'054","N","N","CROSBYTON CISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'054902"," ","CROSBY","'054","N","N","LORENZO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'054903"," ","CROSBY","'054","N","N","RALLS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'055901"," ","CULBERSON","'055","N","N","CULBERSON COUNTY-ALLAMOORE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'18"
"'056901"," ","DALLAM","'056","N","N","DALHART ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'056902"," ","DALLAM","'056","N","N","TEXLINE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'057802"," ","DALLAS","'057","N","Y","PEGASUS SCHOOL OF LIBERAL ARTS AND","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057803","ASVAB Test not Offered","DALLAS","'057","N","Y","UPLIFT EDUCATION","Not Rated: Declared State of Disaster","Needs Assistance","'10"
"'057804","ASVAB Test not Offered","DALLAS","'057","Y","Y","TEXANS CAN ACADEMIES","Not Rated: Declared State of Disaster","Needs Assistance","'10"
"'057805"," ","DALLAS","'057","N","Y","LUMIN EDUCATION","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057806"," ","DALLAS","'057","N","Y","ADVANTAGE ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057807"," ","DALLAS","'057","N","Y","LIFE SCHOOL","Not Rated: Declared State of Disaster","Needs Assistance","'10"
"'057808"," ","DALLAS","'057","N","Y","UNIVERSAL ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057809"," ","DALLAS","'057","N","Y","NOVA ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057810"," ","DALLAS","'057","N","Y","ACADEMY OF DALLAS","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057813"," ","DALLAS","'057","N","Y","TRINITY BASIN PREPARATORY","Not Rated: Declared State of Disaster","Needs Assistance","'10"
"'057814","ASVAB Test not Offered","DALLAS","'057","Y","Y","ACADEMY FOR ACADEMIC EXCELLENCE","Not Rated","Meets Requirements","'10"
"'057816"," ","DALLAS","'057","N","Y","A W BROWN LEADERSHIP ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057819"," ","DALLAS","'057","N","Y","JEAN MASSIEU ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057827"," ","DALLAS","'057","N","Y","NOVA ACADEMY SOUTHEAST","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057828"," ","DALLAS","'057","Y","Y","WINFREE ACADEMY CHARTER SCHOOLS","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057829"," ","DALLAS","'057","N","Y","A+ ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057830"," ","DALLAS","'057","N","Y","INSPIRED VISION ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057831","ASVAB Test not Offered","DALLAS","'057","N","Y","GATEWAY CHARTER ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057833"," ","DALLAS","'057","N","Y","EDUCATION CENTER INTERNATIONAL ACA","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057834"," ","DALLAS","'057","Y","Y","EVOLUTION ACADEMY CHARTER SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057835","ASVAB Test not Offered","DALLAS","'057","N","Y","GOLDEN RULE CHARTER SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057836"," ","DALLAS","'057","N","Y","ST ANTHONY SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057839"," ","DALLAS","'057","N","Y","LA ACADEMIA DE ESTRELLAS","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057840","ASVAB Alternative Test Offered","DALLAS","'057","N","Y","RICHLAND COLLEGIATE HIGH SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057841"," ","DALLAS","'057","N","Y","CITYSCAPE SCHOOLS","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057844","ASVAB Test not Offered","DALLAS","'057","N","Y","MANARA ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057845"," ","DALLAS","'057","N","Y","UME PREPARATORY ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057846"," ","DALLAS","'057","N","Y","LEGACY PREPARATORY","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057847"," ","DALLAS","'057","N","Y","VILLAGE TECH SCHOOLS","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057848"," ","DALLAS","'057","N","Y","INTERNATIONAL LEADERSHIP OF TEXAS","Not Rated: Declared State of Disaster","Needs Assistance","'10"
"'057850","ASVAB Test not Offered","DALLAS","'057","N","Y","PIONEER TECHNOLOGY & ARTS ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057851"," ","DALLAS","'057","N","Y","BRIDGEWAY PREPARATORY ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057903"," ","DALLAS","'057","N","N","CARROLLTON-FARMERS BRANCH ISD","Not Rated: Declared State of Disaster","Needs Assistance","'10"
"'057904"," ","DALLAS","'057","N","N","CEDAR HILL ISD","Not Rated: Declared State of Disaster","Needs Intervention","'10"
"'057905"," ","DALLAS","'057","N","N","DALLAS ISD","Not Rated: Declared State of Disaster","Needs Assistance","'10"
"'057906"," ","DALLAS","'057","N","N","DESOTO ISD","Not Rated: Declared State of Disaster","Needs Intervention","'10"
"'057907"," ","DALLAS","'057","N","N","DUNCANVILLE ISD","Not Rated: Declared State of Disaster","Needs Intervention","'10"
"'057909"," ","DALLAS","'057","N","N","GARLAND ISD","Not Rated: Declared State of Disaster","Needs Assistance","'10"
"'057910"," ","DALLAS","'057","N","N","GRAND PRAIRIE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'10"
"'057911"," ","DALLAS","'057","N","N","HIGHLAND PARK ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057912"," ","DALLAS","'057","N","N","IRVING ISD","Not Rated: Declared State of Disaster","Needs Intervention","'10"
"'057913"," ","DALLAS","'057","N","N","LANCASTER ISD","Not Rated: Declared State of Disaster","Needs Intervention","'10"
"'057914"," ","DALLAS","'057","N","N","MESQUITE ISD","Not Rated: Declared State of Disaster","Needs Intervention","'10"
"'057916"," ","DALLAS","'057","N","N","RICHARDSON ISD","Not Rated: Declared State of Disaster","Needs Assistance","'10"
"'057919"," ","DALLAS","'057","N","N","SUNNYVALE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'057922"," ","DALLAS","'057","N","N","COPPELL ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'058902"," ","DAWSON","'058","N","N","DAWSON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'058905"," ","DAWSON","'058","N","N","KLONDIKE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'058906"," ","DAWSON","'058","N","N","LAMESA ISD","Not Rated: Declared State of Disaster","Needs Assistance","'17"
"'058909"," ","DAWSON","'058","N","N","SANDS CISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'059901"," ","DEAF SMITH","'059","N","N","HEREFORD ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'059902"," ","DEAF SMITH","'059","N","N","WALCOTT ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'060902"," ","DELTA","'060","N","N","COOPER ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'060914"," ","DELTA","'060","N","N","FANNINDEL ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'061802"," ","DENTON","'061","N","Y","NORTH TEXAS COLLEGIATE ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'061804"," ","DENTON","'061","N","Y","LEADERSHIP PREP SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'061805"," ","DENTON","'061","N","Y","TRIVIUM ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'061901"," ","DENTON","'061","N","N","DENTON ISD","Not Rated: Declared State of Disaster","Needs Assistance","'11"
"'061902"," ","DENTON","'061","N","N","LEWISVILLE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'061903"," ","DENTON","'061","N","N","PILOT POINT ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'061905"," ","DENTON","'061","N","N","KRUM ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'061906"," ","DENTON","'061","N","N","PONDER ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'061907"," ","DENTON","'061","N","N","AUBREY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'061908"," ","DENTON","'061","N","N","SANGER ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'061910"," ","DENTON","'061","N","N","ARGYLE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'061911"," ","DENTON","'061","N","N","NORTHWEST ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'061912"," ","DENTON","'061","N","N","LAKE DALLAS ISD","Not Rated: Declared State of Disaster","Needs Assistance","'11"
"'061914"," ","DENTON","'061","N","N","LITTLE ELM ISD","Not Rated: Declared State of Disaster","Needs Assistance","'11"
"'062901"," ","DEWITT","'062","N","N","CUERO ISD","Not Rated: Declared State of Disaster","Needs Assistance","'03"
"'062902"," ","DEWITT","'062","N","N","NORDHEIM ISD","Not Rated: Declared State of Disaster","Meets Requirements","'03"
"'062903"," ","DEWITT","'062","N","N","YOAKUM ISD","Not Rated: Declared State of Disaster","Needs Assistance","'03"
"'062904"," ","DEWITT","'062","N","N","YORKTOWN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'03"
"'062905"," ","DEWITT","'062","N","N","WESTHOFF ISD","Not Rated: Declared State of Disaster","Meets Requirements","'03"
"'062906"," ","DEWITT","'062","N","N","MEYERSVILLE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'03"
"'063903"," ","DICKENS","'063","N","N","SPUR ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'063906"," ","DICKENS","'063","N","N","PATTON SPRINGS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'064903"," ","DIMMIT","'064","N","N","CARRIZO SPRINGS CISD","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'065901"," ","DONLEY","'065","N","N","CLARENDON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'065902"," ","DONLEY","'065","N","N","HEDLEY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'066005"," ","DUVAL","'066","N","N","RAMIREZ CSD","Not Rated: Declared State of Disaster","Meets Requirements","'02"
"'066901"," ","DUVAL","'066","N","N","BENAVIDES ISD","Not Rated: Declared State of Disaster","Meets Requirements","'02"
"'066902"," ","DUVAL","'066","N","N","SAN DIEGO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'02"
"'066903"," ","DUVAL","'066","N","N","FREER ISD","Not Rated: Declared State of Disaster","Meets Requirements","'02"
"'067902"," ","EASTLAND","'067","N","N","CISCO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'14"
"'067903"," ","EASTLAND","'067","N","N","EASTLAND ISD","Not Rated: Declared State of Disaster","Meets Requirements","'14"
"'067904"," ","EASTLAND","'067","N","N","GORMAN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'14"
"'067907"," ","EASTLAND","'067","N","N","RANGER ISD","Not Rated: Declared State of Disaster","Meets Requirements","'14"
"'067908"," ","EASTLAND","'067","N","N","RISING STAR ISD","Not Rated: Declared State of Disaster","Meets Requirements","'14"
"'068802"," ","ECTOR","'068","N","Y","COMPASS ACADEMY CHARTER SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'18"
"'068803"," ","ECTOR","'068","N","Y","UTPB STEM ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'18"
"'068901"," ","ECTOR","'068","N","N","ECTOR COUNTY ISD","Not Rated: Declared State of Disaster","Needs Intervention","'18"
"'069901"," ","EDWARDS","'069","N","N","ROCKSPRINGS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'15"
"'069902"," ","EDWARDS","'069","N","N","NUECES CANYON CISD","Not Rated: Declared State of Disaster","Meets Requirements","'15"
"'070801"," ","ELLIS","'070","N","Y","WAXAHACHIE FAITH FAMILY ACADEMY","Not Rated: Declared State of Disaster","Needs Assistance","'10"
"'070901"," ","ELLIS","'070","N","N","AVALON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'070903"," ","ELLIS","'070","N","N","ENNIS ISD","Not Rated: Declared State of Disaster","Needs Assistance","'10"
"'070905"," ","ELLIS","'070","N","N","FERRIS ISD","Not Rated: Declared State of Disaster","Needs Assistance","'10"
"'070907"," ","ELLIS","'070","N","N","ITALY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'070908"," ","ELLIS","'070","N","N","MIDLOTHIAN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'070909"," ","ELLIS","'070","N","N","MILFORD ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'070910"," ","ELLIS","'070","N","N","PALMER ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'070911"," ","ELLIS","'070","N","N","RED OAK ISD","Not Rated: Declared State of Disaster","Needs Assistance","'10"
"'070912"," ","ELLIS","'070","N","N","WAXAHACHIE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'070915"," ","ELLIS","'070","N","N","MAYPEARL ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'071801"," ","EL PASO","'071","N","Y","BURNHAM WOOD CHARTER SCHOOL DISTRI","Not Rated: Declared State of Disaster","Meets Requirements","'19"
"'071803"," ","EL PASO","'071","Y","Y","TRIUMPH PUBLIC HIGH SCHOOLS-EL PAS","Not Rated: Declared State of Disaster","Meets Requirements","'19"
"'071804"," ","EL PASO","'071","Y","Y","EL PASO ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'19"
"'071806"," ","EL PASO","'071","N","Y","HARMONY SCIENCE ACAD (EL PASO)","Not Rated: Declared State of Disaster","Meets Requirements","'19"
"'071807"," ","EL PASO","'071","N","Y","LA FE PREPARATORY SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'19"
"'071809"," ","EL PASO","'071","N","Y","VISTA DEL FUTURO CHARTER SCHOOL","Not Rated: Declared State of Disaster","Meets Requirements","'19"
"'071810"," ","EL PASO","'071","N","Y","EL PASO LEADERSHIP ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'19"
"'071901"," ","EL PASO","'071","N","N","CLINT ISD","Not Rated: Declared State of Disaster","Needs Substantial Intervention","'19"
"'071902"," ","EL PASO","'071","N","N","EL PASO ISD","Not Rated: Declared State of Disaster","Needs Assistance","'19"
"'071903"," ","EL PASO","'071","N","N","FABENS ISD","Not Rated: Declared State of Disaster","Needs Assistance","'19"
"'071904"," ","EL PASO","'071","N","N","SAN ELIZARIO ISD","Not Rated: Declared State of Disaster","Needs Assistance","'19"
"'071905"," ","EL PASO","'071","N","N","YSLETA ISD","Not Rated: Declared State of Disaster","Needs Assistance","'19"
"'071906"," ","EL PASO","'071","N","N","ANTHONY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'19"
"'071907"," ","EL PASO","'071","N","N","CANUTILLO ISD","Not Rated: Declared State of Disaster","Needs Assistance","'19"
"'071908"," ","EL PASO","'071","N","N","TORNILLO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'19"
"'071909","ASVAB Alternative Test Offered","EL PASO","'071","N","N","SOCORRO ISD","Not Rated: Declared State of Disaster","Needs Intervention","'19"
"'072801","ASVAB Alternative Test Offered","ERATH","'072","Y","Y","PREMIER HIGH SCHOOLS","Not Rated: Declared State of Disaster","Needs Assistance","'11"
"'072802"," ","ERATH","'072","Y","Y","ERATH EXCELS ACADEMY INC","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'072901","ASVAB Alternative Test Offered","ERATH","'072","N","N","THREE WAY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'072902"," ","ERATH","'072","N","N","DUBLIN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'072903"," ","ERATH","'072","N","N","STEPHENVILLE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'072904","ASVAB Alternative Test Offered","ERATH","'072","N","N","BLUFF DALE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'072908"," ","ERATH","'072","N","N","HUCKABAY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'072909"," ","ERATH","'072","N","N","LINGLEVILLE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'072910"," ","ERATH","'072","N","N","MORGAN MILL ISD","Not Rated: Declared State of Disaster","Meets Requirements","'11"
"'073901"," ","FALLS","'073","N","N","CHILTON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'073903"," ","FALLS","'073","N","N","MARLIN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'073904"," ","FALLS","'073","N","N","WESTPHALIA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'073905"," ","FALLS","'073","N","N","ROSEBUD-LOTT ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'074903"," ","FANNIN","'074","N","N","BONHAM ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'074904"," ","FANNIN","'074","N","N","DODD CITY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'074905"," ","FANNIN","'074","N","N","ECTOR ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'074907"," ","FANNIN","'074","N","N","HONEY GROVE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'074909"," ","FANNIN","'074","N","N","LEONARD ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'074911"," ","FANNIN","'074","N","N","SAVOY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'074912"," ","FANNIN","'074","N","N","TRENTON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'074917"," ","FANNIN","'074","N","N","SAM RAYBURN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'075901"," ","FAYETTE","'075","N","N","FLATONIA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'075902"," ","FAYETTE","'075","N","N","LA GRANGE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'075903"," ","FAYETTE","'075","N","N","SCHULENBURG ISD","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'075906"," ","FAYETTE","'075","N","N","FAYETTEVILLE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'075908"," ","FAYETTE","'075","N","N","ROUND TOP-CARMINE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'076903"," ","FISHER","'076","N","N","ROBY CISD","Not Rated: Declared State of Disaster","Meets Requirements","'14"
"'076904"," ","FISHER","'076","N","N","ROTAN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'14"
"'077901"," ","FLOYD","'077","N","N","FLOYDADA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'077902"," ","FLOYD","'077","N","N","LOCKNEY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'078901"," ","FOARD","'078","N","N","CROWELL ISD","Not Rated: Declared State of Disaster","Meets Requirements","'09"
"'079901"," ","FORT BEND","'079","N","N","LAMAR CISD","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'079906"," ","FORT BEND","'079","N","N","NEEDVILLE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'079907"," ","FORT BEND","'079","N","N","FORT BEND ISD","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'079910"," ","FORT BEND","'079","N","N","STAFFORD MSD","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'080901"," ","FRANKLIN","'080","N","N","MOUNT VERNON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'08"
"'081902"," ","FREESTONE","'081","N","N","FAIRFIELD ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'081904"," ","FREESTONE","'081","N","N","TEAGUE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'081905"," ","FREESTONE","'081","N","N","WORTHAM ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'081906"," ","FREESTONE","'081","N","N","DEW ISD","Not Rated: Declared State of Disaster","Meets Requirements","'12"
"'082902"," ","FRIO","'082","N","N","DILLEY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'082903"," ","FRIO","'082","N","N","PEARSALL ISD","Not Rated: Declared State of Disaster","Meets Requirements","'20"
"'083901"," ","GAINES","'083","N","N","SEAGRAVES ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'083902"," ","GAINES","'083","N","N","LOOP ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'083903"," ","GAINES","'083","N","N","SEMINOLE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'17"
"'084802"," ","GALVESTON","'084","N","Y","ODYSSEY ACADEMY INC","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'084804"," ","GALVESTON","'084","N","Y","AMBASSADORS PREPARATORY ACADEMY","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'084901"," ","GALVESTON","'084","N","N","DICKINSON ISD","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'084902","ASVAB Test not Offered","GALVESTON","'084","N","N","GALVESTON ISD","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'084903"," ","GALVESTON","'084","N","N","HIGH ISLAND ISD","Not Rated: Declared State of Disaster","Meets Requirements","'05"
"'084906"," ","GALVESTON","'084","N","N","TEXAS CITY ISD","Not Rated: Declared State of Disaster","Needs Intervention","'04"
"'084908"," ","GALVESTON","'084","N","N","HITCHCOCK ISD","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'084909"," ","GALVESTON","'084","N","N","SANTA FE ISD","Not Rated: Declared State of Disaster","Needs Assistance","'04"
"'084910"," ","GALVESTON","'084","N","N","CLEAR CREEK ISD","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'084911"," ","GALVESTON","'084","N","N","FRIENDSWOOD ISD","Not Rated: Declared State of Disaster","Meets Requirements","'04"
"'085902"," ","GARZA","'085","N","N","POST ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'085903"," ","GARZA","'085","N","N","SOUTHLAND ISD","Not Rated: Declared State of Disaster","Meets Requirements","'17"
"'086024"," ","GILLESPIE","'086","N","N","DOSS CONSOLIDATED CSD","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'086901"," ","GILLESPIE","'086","N","N","FREDERICKSBURG ISD","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'086902"," ","GILLESPIE","'086","N","N","HARPER ISD","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'087901"," ","GLASSCOCK","'087","N","N","GLASSCOCK COUNTY ISD","Not Rated: Declared State of Disaster","Meets Requirements","'18"
"'088902"," ","GOLIAD","'088","N","N","GOLIAD ISD","Not Rated: Declared State of Disaster","Meets Requirements","'03"
"'089901"," ","GONZALES","'089","N","N","GONZALES ISD","Not Rated: Declared State of Disaster","Needs Assistance","'13"
"'089903"," ","GONZALES","'089","N","N","NIXON-SMILEY CISD","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'089905"," ","GONZALES","'089","N","N","WAELDER ISD","Not Rated: Declared State of Disaster","Meets Requirements","'13"
"'090902"," ","GRAY","'090","N","N","LEFORS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'090903"," ","GRAY","'090","N","N","MCLEAN ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'090904"," ","GRAY","'090","N","N","PAMPA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'090905"," ","GRAY","'090","N","N","GRANDVIEW-HOPKINS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'16"
"'091901"," ","GRAYSON","'091","N","N","BELLS ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'091902","ASVAB Test not Offered","GRAYSON","'091","N","N","COLLINSVILLE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'091903"," ","GRAYSON","'091","N","N","DENISON ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'091905"," ","GRAYSON","'091","N","N","HOWE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'091906"," ","GRAYSON","'091","N","N","SHERMAN ISD","Not Rated: Declared State of Disaster","Needs Assistance","'10"
"'091907"," ","GRAYSON","'091","N","N","TIOGA ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'091908"," ","GRAYSON","'091","N","N","VAN ALSTYNE ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
"'091909"," ","GRAYSON","'091","N","N","WHITESBORO ISD","Not Rated: Declared State of Disaster","Meets Requirements","'10"
