DISTRICT,D2HEE20R,D2HEE21R,D3HEE20R,D3HEE21R,D4HEE20R,D4HEE21R,DAHEE20R,DAHEE21R,DBHEE20R,DBHEE21R,DEHEE20R,DEHEE21R,DHHEE20R,DHHEE21R,DIHEE20R,DIHEE21R,DISTNAME,DLHEE20R,DLHEE21R,DSHEE20R,DSHEE21R,DWHEE20R,DWHEE21R
"'032902",-1,-1,-1,-1,.,.,46.6,48.9,53.6,43.8,40.7,47.6,43.4,50,-1,-1,"PITTSBURG ISD",30.8,0,18.2,23.5,45.8,47.9
"'033901",.,.,.,.,.,.,60,46.2,.,.,-1,-1,-1,-1,.,.,"GROOM ISD",.,.,-1,-1,64.3,41.7
"'033902",.,-1,.,.,.,.,54.5,65.5,-1,.,41.7,27.3,37.5,-1,-1,.,"PANHANDLE ISD",.,.,36.4,28.6,60.5,64.8
"'033904",.,-1,.,.,.,.,64.3,55,.,.,-1,20,80,.,.,.,"WHITE DEER ISD",.,.,-1,-1,55.6,57.9
"'034901",-1,-1,-1,.,.,.,50,42.1,36.1,32.6,41.4,30.2,44.4,57.1,.,-1,"ATLANTA ISD",-1,-1,23.1,25,61.3,47
"'034902",-1,-1,.,.,.,.,57.1,38.5,-1,-1,60,50,-1,-1,.,.,"AVINGER ISD",.,.,-1,.,-1,57.1
"'034903",-1,-1,.,.,.,.,58,53.5,-1,25,55,47.6,50,50,-1,.,"HUGHES SPRINGS ISD",.,.,-1,20,59.7,59.3
"'034905",-1,.,-1,.,.,.,56.8,47.4,77.8,62.5,54.5,44.8,-1,-1,.,.,"LINDEN-KILDARE CISD",-1,.,-1,0,51.7,45.8
"'034906",.,-1,.,.,.,.,39.1,36,.,.,36.4,40,-1,.,.,.,"MCLEOD ISD",.,.,-1,-1,40.9,33.3
"'034907",-1,-1,.,.,.,.,43.2,42,44.4,42.9,40.5,36.1,-1,.,-1,-1,"QUEEN CITY ISD",.,.,0,0,44.1,43.1
"'034909",.,.,.,.,.,.,35.3,33.3,.,.,36.4,28.6,-1,-1,.,-1,"BLOOMBURG ISD",.,.,-1,-1,31.3,40
"'035901",.,.,.,.,.,.,47.3,49.3,-1,-1,40.4,47.5,46.9,44.8,-1,.,"DIMMITT ISD",42.9,40,33.3,20,62.5,87.5
"'035902",.,.,.,.,.,.,33.3,30,.,.,33.3,37.5,33.3,33.3,.,.,"HART ISD",.,-1,.,-1,.,-1
"'035903",.,.,.,.,.,.,85.7,69.2,.,-1,-1,-1,80,-1,-1,.,"NAZARETH ISD",.,.,.,-1,86.7,80
"'036901",-1,-1,-1,-1,.,.,64.5,46.8,54.5,-1,51.4,30.6,55.6,51.9,-1,.,"ANAHUAC ISD",-1,-1,16.7,33.3,73.8,47.5
"'036902",70,42.9,100,85.7,.,-1,69.6,63,66.7,26.7,53.6,49.3,72.4,67.3,-1,-1,"BARBERS HILL ISD",-1,14.3,30.4,19,68.5,62.9
"'036903",-1,-1,-1,-1,.,.,52.5,46.9,57.1,72.7,29.7,41.5,41.2,37.8,.,.,"EAST CHAMBERS ISD",-1,14.3,50,23.1,63.5,50
"'037901",-1,-1,.,.,.,.,32.7,59.5,33.3,58.8,24.1,50,33.3,37.5,.,.,"ALTO ISD",-1,-1,37.5,33.3,26.7,68.8
"'037904",33.3,60,-1,-1,-1,.,46.1,36.8,37.5,25,39,33.2,40.4,36.4,.,40,"JACKSONVILLE ISD",0,18.2,27.6,4,59,45.5
"'037907",-1,20,.,.,.,.,51.4,51.4,44.4,28.6,44.8,40.5,43.8,29.2,.,-1,"RUSK ISD",-1,-1,33.3,9.1,52.9,63.4
"'037908",-1,.,.,-1,.,.,30,50,-1,-1,28.9,52.8,35.5,55.6,.,.,"NEW SUMMERFIELD ISD",14.3,20,-1,20,16.7,28.6
"'037909",-1,.,.,.,.,.,37,46.7,-1,-1,15.4,50,-1,-1,.,.,"WELLS ISD",.,.,-1,0,45.5,45.5
"'038901",.,-1,.,.,.,.,41,40.7,-1,-1,25,46.4,17.1,41,-1,-1,"CHILDRESS ISD",-1,.,0,30,61.5,41.3
"'039902",-1,-1,.,.,.,.,62.3,47.5,-1,.,36.4,13.3,66.7,70,-1,-1,"HENRIETTA ISD",.,.,80,-1,58.8,42.2
"'039903",-1,-1,.,.,.,.,36.7,43.8,.,.,46.7,50,-1,-1,-1,.,"PETROLIA CISD",.,-1,12.5,-1,40,51.9
"'039904",.,-1,.,.,.,.,45.5,81.8,.,.,33.3,-1,.,.,.,.,"BELLEVUE ISD",.,.,-1,-1,45.5,80
"'039905",.,.,.,.,.,.,30,42.9,.,.,33.3,50,.,-1,.,.,"MIDWAY ISD",.,.,.,.,30,50
"'040901",.,-1,.,.,.,.,37.5,48.3,.,.,23.1,36.8,38.9,48,.,.,"MORTON ISD",.,-1,0,-1,33.3,-1
"'040902",.,.,.,.,.,.,82.4,78.3,.,.,72.7,66.7,83.3,72.7,-1,.,"WHITEFACE CISD",-1,.,-1,-1,-1,83.3
"'041901",.,.,.,.,.,.,69.2,50,.,.,69.2,22.2,78.6,40,.,.,"BRONTE ISD",-1,.,-1,-1,58.3,52.9
"'041902",.,-1,.,.,.,.,50,17.6,.,.,30,0,50,20,-1,.,"ROBERT LEE ISD",-1,-1,-1,-1,53.8,9.1
"'042901",-1,-1,.,.,.,.,58.8,45.2,-1,-1,45.8,17.6,58.8,20,.,.,"COLEMAN ISD",.,-1,20,25,62.5,58.3
"'042903",.,.,.,.,.,.,57.1,41.7,.,.,57.1,41.7,20,33.3,.,.,"SANTA ANNA ISD",.,.,-1,-1,77.8,50
"'042905",.,.,.,-1,.,.,73.3,36.4,.,.,71.4,30,60,-1,.,.,"PANTHER CREEK CISD",.,.,-1,-1,80,33.3
"'043801",-1,.,63.2,81.8,.,.,52.2,65.1,-1,-1,-1,-1,80,-1,-1,.,"IMAGINE INTERNATIONAL ACADEMY OF NORTH TEXAS",.,.,-1,.,28.6,38.9
"'043802",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LONE STAR LANGUAGE ACADEMY",.,.,.,.,.,.
"'043901",63.5,64.6,82.8,72.9,-1,66.7,63,57.8,57.1,52.7,56.2,53.1,55.2,49.8,75,60,"ALLEN ISD",65.1,35.2,47.2,38,60.3,55.7
"'043902",38.5,85.7,57.1,-1,.,.,52.4,44.5,60,44.8,44,42.2,53.8,40.3,-1,.,"ANNA ISD",-1,0,27.3,42.9,51.7,45.6
"'043903",50,30,-1,-1,.,.,52.2,42.5,-1,42.9,41.7,31.6,40.7,36.7,-1,.,"CELINA ISD",-1,-1,15.4,30.8,55.8,46
"'043904",-1,-1,-1,.,.,.,36.9,33.9,-1,-1,36.2,18.6,41.7,31,-1,-1,"FARMERSVILLE ISD",-1,20,14.3,30,36.3,34.6
"'043905",53.7,52.9,71.4,63.1,57.1,33.3,59.4,56.7,55.5,52.8,54.9,47.6,56.1,53.2,42.9,62.5,"FRISCO ISD",38.7,25.6,43.5,47.3,57.5,55.9
"'043907",64.7,45.8,79.1,65.2,83.3,20,54.6,48.1,53.4,43,43,38,48.3,42.1,50,53.3,"MCKINNEY ISD",42.6,17.7,33.6,22,54.8,50.8
"'043908",83.3,40,-1,-1,.,-1,56.4,43.6,65.2,40.7,40.6,41.7,47.5,34.4,-1,-1,"MELISSA ISD",.,-1,33.3,45.8,55.8,45.9
"'043910",62.1,42.4,78.4,65.4,-1,16.7,62.2,51.7,54.8,50,53.7,44.4,49.4,39.2,40,64.3,"PLANO ISD",41.8,24.2,29.7,24.6,61.4,51
"'043911",-1,20,57.1,-1,-1,.,40.4,33.7,42.3,27.8,36.5,26.5,36,31.3,.,.,"PRINCETON ISD",21.4,23.8,14.8,11.6,41.6,38.4
"'043912",67.6,55.3,77.4,67.3,.,-1,58.6,54.9,59.7,54.6,57.4,47.1,50,47.5,-1,-1,"PROSPER ISD",55.6,46.2,31.7,27.5,58.2,55.6
"'043914",57.1,48.8,85.5,79,-1,-1,61.7,59.4,63.2,66.7,56.7,48.9,57.1,48.5,60,-1,"WYLIE ISD",22.2,37.5,39.8,32.2,58.9,59.4
"'043917",.,-1,.,.,.,.,49.1,46.2,.,.,37.5,40.9,58.3,46.7,.,.,"BLUE RIDGE ISD",.,-1,41.7,40,46.7,47.1
"'043918",-1,-1,-1,-1,.,.,50.8,48.7,60,75,48.1,46.1,46.7,44.8,-1,-1,"COMMUNITY ISD",40,10,33.3,6.7,52.1,49.4
"'043919",68.8,57.1,72,54.2,.,-1,63.6,52.3,54.5,70,61.5,63.6,69.6,53.1,-1,-1,"LOVEJOY ISD",.,.,63.6,55.6,62.2,51
"'044902",.,-1,.,.,.,.,64.9,50,33.3,-1,58.3,47.6,61.1,47.1,.,.,"WELLINGTON ISD",.,-1,-1,-1,84.6,47.4
"'045902",-1,-1,-1,-1,.,.,47.5,45.5,15.4,46.7,33.3,28.8,47.6,31,-1,.,"COLUMBUS ISD",-1,-1,20,10,55,58.3
"'045903",-1,.,.,.,-1,.,54.3,41.3,62.5,33.3,49.5,30.4,55.6,41.2,.,.,"RICE CISD",-1,-1,33.3,30,45.9,43.8
"'045905",-1,-1,.,.,.,.,61.2,52,33.3,0,52.4,38.1,60.9,54.5,.,.,"WEIMAR ISD",-1,-1,-1,20,72.2,61.3
"'046802",.,.,.,.,.,.,28.6,37.5,-1,-1,28.6,37.5,-1,-1,.,.,"TRINITY CHARTER SCHOOL",.,.,-1,-1,-1,30
"'046901",50,37.5,-1,71.4,-1,.,48.5,45.6,61.1,72.2,26.7,27.9,34.9,37.5,-1,-1,"NEW BRAUNFELS ISD",10.5,12.5,20.9,12.5,58.7,51.1
"'046902",50,43.2,66.7,63.9,-1,.,54.9,51.6,73,51.1,33.4,31.8,51.1,48.7,20,0,"COMAL ISD",23.5,19,18,15.2,56.9,53.8
"'047901",-1,-1,-1,.,.,.,54.9,52.8,.,.,43.9,46.5,43.2,50,.,-1,"COMANCHE ISD",20,-1,12.5,16.7,64.5,53.6
"'047902",.,-1,.,.,.,.,73,50,.,-1,70,31.6,44.4,28.6,.,.,"DE LEON ISD",.,-1,-1,-1,82.1,61.5
"'047903",.,-1,.,.,.,.,50,50,.,.,60,50,60,44.4,.,.,"GUSTINE ISD",-1,-1,-1,-1,-1,-1
"'047905",.,.,.,.,.,.,44.4,88.9,.,.,42.9,-1,-1,-1,.,.,"SIDNEY ISD",.,.,-1,-1,42.9,87.5
"'048901",.,.,.,.,.,.,88.9,45.5,.,.,80,-1,87.5,50,.,.,"EDEN CISD",.,.,-1,-1,-1,40
"'048903",.,-1,.,-1,.,.,25,27.8,-1,.,18.2,33.3,-1,28.6,.,-1,"PAINT ROCK ISD",.,.,-1,.,33.3,25
"'049901",-1,25,.,40,.,.,38.3,34.6,66.7,36.8,32.6,32.4,30.2,28.3,.,.,"GAINESVILLE ISD",17.4,4.8,16.7,14.3,46.9,45.6
"'049902",.,.,.,.,.,.,78.1,67.5,.,.,-1,60,-1,-1,.,-1,"MUENSTER ISD",.,.,-1,71.4,80,67.6
"'049903",.,-1,-1,.,.,.,52.8,40.7,.,-1,50,36.4,54.5,33.3,.,.,"VALLEY VIEW ISD",-1,20,-1,14.3,53.7,44.7
"'049905",-1,-1,-1,-1,.,.,44,37.7,.,.,42.9,22.2,54.5,66.7,-1,-1,"CALLISBURG ISD",-1,-1,9.1,14.3,43.5,35.3
"'049906",.,.,.,.,.,.,76.5,45.5,.,.,71.4,20,-1,-1,-1,-1,"ERA ISD",.,.,60,-1,80,46.2
"'049907",-1,-1,.,-1,.,.,86.1,71.7,.,.,-1,-1,-1,-1,.,-1,"LINDSAY ISD",.,.,-1,-1,88.2,73.2
"'049908",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"WALNUT BEND ISD",.,.,.,.,.,.
"'049909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SIVELLS BEND ISD",.,.,.,.,.,.
"'050901",.,.,.,.,.,.,66.7,33.3,.,.,28.6,11.1,-1,-1,.,.,"EVANT ISD",.,-1,-1,-1,68.8,33.3
"'050902",-1,42.9,.,-1,.,.,47.5,41.4,-1,0,27.9,24.4,33.3,33.3,-1,-1,"GATESVILLE ISD",-1,-1,0,15.4,53.5,45.3
"'050904",.,.,.,.,.,.,50,37.5,.,.,42.9,60,-1,20,.,.,"OGLESBY ISD",.,.,-1,-1,36.4,45.5
"'050909",.,.,.,.,.,.,53.8,57.9,.,.,-1,60,-1,-1,.,.,"JONESBORO ISD",.,.,-1,-1,54.5,58.8
"'050910",46.5,23.1,72.7,18.2,33.3,35.7,45.9,34.4,45,31.5,37.5,27.7,46,38.3,-1,0,"COPPERAS COVE ISD",18.2,7.7,30.9,11.5,45.2,36.8
"'051901",-1,.,.,.,.,.,61.1,28.6,-1,-1,58.3,36.4,50,20,.,.,"PADUCAH ISD",-1,.,-1,-1,66.7,33.3
"'052901",.,.,.,.,.,.,54.7,52.5,-1,-1,47.4,43.8,52.2,53.6,.,.,"CRANE ISD",20,14.3,-1,40,61.1,45
"'053001",.,.,.,.,.,.,35.7,30.8,.,.,15.8,17.9,30.3,34.1,-1,.,"CROCKETT COUNTY CONSOLIDATED CSD",-1,-1,-1,20,62.5,12.5
"'054901",.,.,.,.,.,.,43.3,50,-1,-1,52.9,41.7,50,33.3,.,.,"CROSBYTON CISD",.,.,0,.,16.7,-1
"'054902",.,.,.,.,.,.,27.3,50,.,.,25,44.4,22.2,63.6,.,.,"LORENZO ISD",-1,.,-1,-1,-1,-1
"'054903",.,.,.,.,.,.,30.3,26.7,-1,-1,25.9,21.6,19.2,28.6,.,.,"RALLS ISD",-1,.,-1,8.3,66.7,22.2
"'055901",-1,.,.,.,.,.,33.3,33.3,.,.,35,20,33.3,30.8,.,.,"CULBERSON COUNTY-ALLAMOORE ISD",-1,-1,-1,-1,-1,-1
"'056901",.,-1,-1,-1,.,.,43.2,44.4,.,-1,23.9,35.2,35.4,35.2,-1,.,"DALHART ISD",0,0,22.2,42.9,52.3,58.8
"'056902",.,.,.,.,.,.,38.5,20,-1,.,36.4,0,42.9,-1,.,.,"TEXLINE ISD",-1,.,-1,.,40,33.3
"'057802",.,.,.,.,.,.,41.7,38.7,28.6,14.3,42.9,37,47.1,45.8,.,.,"PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES",-1,20,-1,16.7,.,.
"'057803",54.5,38.5,88.9,83.5,.,.,65.6,58.3,64.2,60.4,63.2,54.3,62.2,55.2,.,-1,"UPLIFT EDUCATION",53.5,40,53.8,43.5,81,52.8
"'057804",18.6,4.5,30,-1,-1,.,14.8,8.6,15,10,15,9.1,13.7,8.5,13.6,0,"TEXANS CAN ACADEMIES",9.7,7.1,8.4,2.1,18.5,1.9
"'057805",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LUMIN EDUCATION",.,.,.,.,.,.
"'057806",.,.,-1,.,.,.,44.8,21.9,-1,16.7,40,11.1,42.1,28.6,.,.,"ADVANTAGE ACADEMY",50,0,33.3,-1,-1,0
"'057807",53.8,80,-1,.,-1,.,69,55,75.2,61.3,62.6,51.4,64.6,42.7,.,-1,"LIFE SCHOOL",57.1,20,42.9,35.1,61.1,57.8
"'057808",.,.,-1,50,.,.,78.9,33.3,87.5,16.7,77.8,33.3,66.7,60,.,.,"UNIVERSAL ACADEMY",-1,-1,-1,-1,.,-1
"'057809",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"NOVA ACADEMY",.,.,.,.,.,.
"'057810",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ACADEMY OF DALLAS",.,.,.,.,.,.
"'057813",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"TRINITY BASIN PREPARATORY",.,.,.,.,.,.
"'057814",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ACADEMY FOR ACADEMIC EXCELLENCE",.,.,.,.,.,.
"'057816",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"A W BROWN LEADERSHIP ACADEMY",.,.,.,.,.,.
"'057819",.,.,.,.,.,.,20,0,-1,.,20,-1,-1,0,.,.,"JEAN MASSIEU ACADEMY",-1,-1,-1,-1,.,.
"'057827",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"NOVA ACADEMY SOUTHEAST",.,.,.,.,.,.
"'057828",25,11.8,44.4,33.3,-1,-1,18,13.1,18.4,16.7,15.1,9.5,15.1,8.2,-1,-1,"WINFREE ACADEMY CHARTER SCHOOLS",17.1,11.6,25.5,13.2,17,16.4
"'057829",-1,-1,.,.,.,.,37.5,33.7,-1,-1,39.7,34.8,36.5,32.9,.,.,"A+ ACADEMY",28.6,13.3,23.1,40,-1,-1
"'057830",-1,.,.,.,.,.,48.8,31.1,-1,40,49.4,32.4,46.8,29.4,.,.,"INSPIRED VISION ACADEMY",33.3,5.3,20,8.3,-1,-1
"'057831",.,.,.,.,.,.,76,39.1,79.2,36.4,76,53.8,-1,-1,.,.,"GATEWAY CHARTER ACADEMY",.,.,-1,-1,.,.
"'057833",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"EDUCATION CENTER INTERNATIONAL ACADEMY",.,.,.,.,.,.
"'057834",20,16.7,.,-1,-1,-1,13.1,12.2,15,13,12.7,11.4,7.8,9.1,.,.,"EVOLUTION ACADEMY CHARTER SCHOOL",5.6,4,8.6,8,20,20
"'057835",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"GOLDEN RULE CHARTER SCHOOL",.,.,.,.,.,.
"'057836",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ST ANTHONY SCHOOL",.,.,.,.,.,.
"'057839",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LA ACADEMIA DE ESTRELLAS",.,.,.,.,.,.
"'057840",-1,-1,97.6,80.3,-1,-1,88.7,80.4,90.8,87.3,91.8,87.5,83.7,72.6,-1,-1,"RICHLAND COLLEGIATE HIGH SCHOOL",100,66.7,-1,.,83.6,80.5
"'057841",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"CITYSCAPE SCHOOLS",.,.,.,.,.,.
"'057844",.,.,75,-1,.,.,80,38.5,80,50,76.9,37.5,-1,.,-1,.,"MANARA ACADEMY",60,-1,-1,-1,80,20
"'057845",-1,-1,-1,.,.,.,42.4,44.6,-1,-1,-1,42.1,-1,61.5,.,.,"UME PREPARATORY ACADEMY",-1,-1,-1,-1,42.9,30.4
"'057846",-1,-1,.,-1,.,.,41.4,26.1,50,14.3,39.5,19,36.8,20.4,.,.,"LEGACY PREPARATORY",38.9,4.5,-1,0,42.9,80
"'057847",-1,-1,-1,-1,.,.,74.4,65.7,63.6,88.9,50,60,85.7,55.6,.,.,"VILLAGE TECH SCHOOLS",-1,.,.,-1,60,41.7
"'057848",-1,40,60,81.5,-1,.,60.5,55.5,63,57.9,56.6,55,60.1,52.7,-1,-1,"INTERNATIONAL LEADERSHIP OF TEXAS (ILTEXAS)",46.4,40.8,38.5,38.9,58.3,52.7
"'057850",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PIONEER TECHNOLOGY & ARTS ACADEMY",.,.,.,.,.,.
"'057851",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BRIDGEWAY PREPARATORY ACADEMY",.,.,.,.,.,.
"'057903",58.5,59.5,80.9,66.9,-1,-1,56,49.5,47.1,48.7,52.2,45.1,54.2,45.3,40,80,"CARROLLTON-FARMERS BRANCH ISD",34.1,27.1,33,29.9,55.7,55.2
"'057904",58.8,50,57.1,88.9,.,-1,61,53.1,60.8,53.5,57.3,49.3,59.7,49.6,.,-1,"CEDAR HILL ISD",44.4,27.8,32.7,34.4,71.9,56.3
"'057905",48.6,44.6,62,39.1,-1,62.5,52.8,37.1,49.2,38,52.6,36.1,54,36.3,52.4,33.3,"DALLAS ISD",38.6,22.2,29.8,19.9,49.5,43.2
"'057906",70.6,33.3,-1,-1,.,-1,57.4,48.1,59,51.5,56,46.9,52.3,31.1,-1,.,"DESOTO ISD",-1,7.1,32.5,29.2,15.8,11.1
"'057907",73.3,33.3,75,73.3,.,-1,57.4,47.5,60.8,50.3,57.9,47.1,55,45.8,-1,-1,"DUNCANVILLE ISD",31,18.3,27.3,24.4,35.7,42.4
"'057909",71.6,55.4,82.5,61.1,-1,40,56.8,45.2,54.6,46.9,53,40.6,51.3,38.6,60,54.5,"GARLAND ISD",35,15.3,18.3,20.9,58.7,51.9
"'057910",66,65.7,76.4,69.6,-1,.,51,47.8,56.4,53,49.2,43.2,48.2,44.1,28.6,22.2,"GRAND PRAIRIE ISD",40.7,32.8,31.8,25.9,49.8,54.5
"'057911",-1,40,45.7,40,.,-1,46.5,45,-1,-1,.,.,35.7,36.4,-1,-1,"HIGHLAND PARK ISD",-1,-1,25,54.8,46.9,45.4
"'057912",46.2,50,80.6,64.3,-1,42.9,51.7,41.7,50.2,40.4,51.8,39.9,50.2,39.5,50,51.9,"IRVING ISD",30.8,18.3,24.4,19.1,56.2,50.5
"'057913",80,-1,-1,.,.,-1,61.1,47.4,62.2,49.4,61.1,47.1,59.7,41.3,-1,-1,"LANCASTER ISD",-1,23.1,33.9,35.7,-1,28.6
"'057914",36.4,52.3,80,69.8,-1,.,49.2,45.3,51.3,47.1,48.7,43.5,49,43.1,57.9,50,"MESQUITE ISD",30.3,21.8,21.3,19.7,42.1,46.9
"'057916",63.1,53.8,81.2,63.9,.,57.1,59.4,48.4,57.4,46.9,56.3,43.3,51.8,37.5,-1,-1,"RICHARDSON ISD",36.6,25.2,33.7,31.9,65.5,59.4
"'057919",-1,-1,85.2,89.7,.,.,71.9,74.3,58.3,75,66.7,56,66.7,75,.,.,"SUNNYVALE ISD",-1,50,33.3,23.1,71.9,68.4
"'057922",66.7,46.4,82.2,63.7,.,.,67.8,58.6,46,52.8,53.8,53.3,56.2,52.4,42.9,-1,"COPPELL ISD",40,11.5,38.7,28.9,62.4,56.9
"'058902",.,.,.,.,.,.,-1,-1,.,.,.,-1,.,-1,.,.,"DAWSON ISD",.,.,.,.,-1,-1
"'058905",.,.,.,-1,.,.,85.7,57.1,.,.,-1,-1,-1,-1,-1,.,"KLONDIKE ISD",.,.,-1,.,80,66.7
"'058906",.,-1,-1,.,.,.,47.2,44.3,40,40,46,35.2,43.6,37.9,-1,.,"LAMESA ISD",33.3,0,13.3,16.7,68,65
"'058909",.,.,.,.,.,.,63.6,71.4,.,.,-1,-1,-1,-1,.,.,"SANDS CISD",.,.,-1,-1,71.4,80
"'059901",-1,.,-1,-1,.,.,39.6,35.7,.,-1,36.4,32.4,36.5,32.9,-1,-1,"HEREFORD ISD",21.1,27.8,36.4,26.3,54.3,44.4
"'059902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"WALCOTT ISD",.,.,.,.,.,.
"'060902",-1,-1,.,.,.,.,51,61.5,-1,-1,46.2,56,40,55.6,-1,.,"COOPER ISD",.,.,40,-1,51.2,64.1
"'060914",.,.,.,.,.,.,50,28.6,40,.,50,16.7,-1,-1,.,.,"FANNINDEL ISD",.,.,-1,-1,66.7,40
"'061802",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"NORTH TEXAS COLLEGIATE ACADEMY",.,.,.,.,.,.
"'061804",.,.,.,71.4,.,.,-1,71.7,.,-1,.,.,.,88.2,.,-1,"LEADERSHIP PREP SCHOOL",.,.,.,-1,-1,60
"'061805",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"TRIVIUM ACADEMY",.,.,.,.,.,.
"'061901",61.5,41.9,70.2,51.6,-1,-1,50.6,39,46.2,38.4,43.2,29.8,47.7,30.7,47.8,27.3,"DENTON ISD",38.1,13.9,20.7,21.9,52.4,43.5
"'061902",58.2,41.6,77.5,66.9,20,-1,55.3,48.3,45.6,37.3,42.7,35.6,44.4,35,50,50,"LEWISVILLE ISD",32.2,16.2,30.5,26.7,56.9,53.4
"'061903",.,-1,.,-1,.,.,37.9,27.6,-1,33.3,27.5,14.7,29.8,19,-1,.,"PILOT POINT ISD",18.2,0,0,16.7,43.9,33.3
"'061905",-1,-1,.,-1,.,.,52.1,49.6,40,-1,26.7,30.8,43.8,37.9,.,-1,"KRUM ISD",-1,-1,10,-1,54.5,53.1
"'061906",.,-1,-1,.,.,.,46.7,49,-1,.,29.4,33.3,48,44.4,-1,-1,"PONDER ISD",0,-1,0,38.5,48.7,52
"'061907",-1,.,-1,-1,.,.,54.3,40.4,66.7,25,42.9,23.4,27.6,30.8,.,-1,"AUBREY ISD",-1,-1,21.4,6.7,58.3,43
"'061908",20,0,-1,-1,.,.,45,33.7,45.5,40,42.1,21.9,40.5,24,-1,-1,"SANGER ISD",22.2,16.7,18.8,15,47.9,38.3
"'061910",-1,-1,-1,50,.,.,61.9,51.8,-1,-1,64.3,66.7,65,73.3,-1,-1,"ARGYLE ISD",-1,-1,50,35.3,61,50
"'061911",53.6,58.5,58.5,67.2,28.6,60,51.4,48.7,56.2,51.6,42.5,38.3,45.8,39.5,33.3,50,"NORTHWEST ISD",27.6,24.3,28.1,15.3,52.1,49.7
"'061912",64.3,50,80,90.9,.,-1,53,49.7,38.7,59.4,38.4,34.6,40.8,38.3,-1,-1,"LAKE DALLAS ISD",0,0,15.4,0,59.8,52.7
"'061914",44,56.5,92.9,50,-1,.,47,41,51.1,49.5,40.8,38,43.5,34,-1,.,"LITTLE ELM ISD",30,9.5,17.1,18.4,44.9,41.4
"'062901",87.5,-1,-1,-1,.,.,47.4,45.1,38.9,38.5,31,29.5,38.3,31,.,.,"CUERO ISD",-1,16.7,25,6.7,55.4,61.8
"'062902",.,.,.,.,.,.,18.2,50,-1,.,0,-1,-1,-1,.,.,"NORDHEIM ISD",.,.,-1,.,16.7,-1
"'062903",-1,-1,-1,.,.,.,51.3,34,30.8,42.9,35.8,26.2,44.6,30.2,.,.,"YOAKUM ISD",-1,18.2,18.2,6.3,65.9,41.4
"'062904",-1,-1,.,.,.,.,19.4,27.9,-1,.,11.5,11.5,14.3,20.8,.,.,"YORKTOWN ISD",.,-1,0,11.1,25,38.9
"'062905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"WESTHOFF ISD",.,.,.,.,.,.
"'062906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MEYERSVILLE ISD",.,.,.,.,.,.
"'063903",.,.,.,.,.,.,73.7,78.3,-1,-1,57.1,83.3,50,69.2,.,.,"SPUR ISD",.,-1,-1,-1,83.3,88.9
"'063906",.,.,.,.,.,.,60,42.9,.,.,-1,-1,-1,-1,.,.,"PATTON SPRINGS ISD",.,.,-1,.,-1,40
"'064903",.,.,.,-1,.,.,61.5,47.3,-1,.,57.5,42.7,60.9,46.7,.,.,"CARRIZO SPRINGS CISD",80,33.3,26.7,33.3,66.7,50
"'065901",-1,.,.,.,.,.,56.3,81.8,-1,100,37.5,77.8,-1,-1,.,.,"CLARENDON ISD",.,.,-1,-1,54.2,76.9
"'065902",.,.,.,-1,.,.,45.5,33.3,.,.,50,-1,-1,-1,.,.,"HEDLEY ISD",.,.,-1,.,50,-1
"'066005",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"RAMIREZ CSD",.,.,.,.,.,.
"'066901",.,.,.,.,.,.,41.9,39.4,.,.,35,29.2,41.9,39.4,.,.,"BENAVIDES ISD",.,-1,-1,25,.,.
"'066902",.,.,.,.,.,.,45.8,41,.,.,35.7,34.3,45.8,42,.,.,"SAN DIEGO ISD",-1,.,28.6,0,.,-1
"'066903",.,.,.,-1,.,.,40,51.2,.,.,37.5,44.8,41.2,45.7,.,.,"FREER ISD",.,-1,42.9,20,33.3,71.4
"'067902",-1,-1,-1,.,.,.,56.7,48.6,-1,-1,40,32.4,73.3,58.3,.,.,"CISCO ISD",-1,.,42.9,37.5,50,48.1
