DISTRICT,D20GH19R,D20GH20R,D2RC4X19R,D2RC4X20R,D30GH19R,D30GH20R,D3RC4X19R,D3RC4X20R,D40GH19R,D40GH20R,D4RC4X19R,D4RC4X20R,DA0GH19R,DA0GH20R,DARC4X19R,DARC4X20R,DB0GH19R,DB0GH20R,DBRC4X19R,DBRC4X20R,DE0GH19R,DE0GH20R,DERC4X19R,DERC4X20R,DF0GH19R,DF0GH20R,DFRC4X19R,DFRC4X20R,DH0GH19R,DH0GH20R,DHRC4X19R,DHRC4X20R,DI0GH19R,DI0GH20R,DIRC4X19R,DIRC4X20R,DISTNAME,DL0GH19R,DL0GH20R,DLRC4X19R,DLRC4X20R,DM0GH19R,DM0GH20R,DMRC4X19R,DMRC4X20R,DR0GH19R,DR0GH20R,DRRC4X19R,DRRC4X20R,DS0GH19R,DS0GH20R,DSRC4X19R,DSRC4X20R,DW0GH19R,DW0GH20R,DWRC4X19R,DWRC4X20R
"'018902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MERIDIAN ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'018903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,"MORGAN ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.
"'018904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"VALLEY MILLS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'018905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"WALNUT SPRINGS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'018906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"IREDELL ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'018907",.,.,.,.,.,.,.,.,.,.,.,.,-1,100,-1,100,.,.,.,.,-1,100,-1,100,-1,100,-1,100,.,-1,.,-1,.,.,.,.,"KOPPERL ISD",.,.,.,.,.,-1,.,-1,-1,.,-1,.,.,.,.,.,-1,-1,-1,-1
"'018908",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"CRANFILLS GAP ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'019901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"DEKALB ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'019902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HOOKS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'019903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MAUD ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'019905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"NEW BOSTON ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'019906",.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,"REDWATER ISD",.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,.,.,.,.,.,.
"'019907",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,"TEXARKANA ISD",.,.,.,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.
"'019908",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LIBERTY-EYLAU ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'019909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SIMMS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'019910",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MALTA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'019911",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"RED LICK ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'019912",-1,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PLEASANT GROVE ISD",.,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.
"'019913",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HUBBARD ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'019914",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LEARY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'020901",.,.,.,.,-1,-1,.,-1,.,-1,.,.,27.5,11.5,.,-1,20,20,.,.,0,-1,.,-1,38.1,14.3,.,.,38.1,0,.,.,.,.,.,.,"ALVIN ISD",.,.,.,.,15.8,8.3,.,-1,0,-1,.,.,0,0,.,.,7.7,14.3,.,.
"'020902",.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,-1,-1,.,.,-1,-1,.,.,-1,-1,.,.,.,.,.,.,"ANGLETON ISD",.,.,.,.,.,.,.,.,-1,-1,.,.,-1,-1,.,.,-1,-1,.,.
"'020904",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,"DANBURY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.
"'020905",.,.,.,.,.,.,-1,.,.,.,.,.,22.2,-1,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,.,.,-1,-1,.,.,.,.,.,.,"BRAZOSPORT ISD",.,.,.,.,16.7,-1,-1,.,-1,.,-1,.,-1,.,.,.,-1,.,.,.
"'020906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SWEENY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'020907",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"COLUMBIA-BRAZORIA ISD",.,.,.,.,-1,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.
"'020908",-1,.,.,.,-1,.,.,.,.,.,.,.,0,16.7,-1,.,-1,-1,.,.,-1,-1,-1,.,0,-1,-1,.,0,-1,.,.,.,.,-1,.,"PEARLAND ISD",.,.,-1,.,0,-1,.,.,-1,-1,-1,.,0,-1,.,.,-1,-1,.,.
"'020910",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"DAMON ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'021803",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BRAZOS SCHOOL FOR INQUIRY & CREATI",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'021805",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ARROW ACADEMY",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'021901",.,.,.,.,-1,.,.,.,.,.,.,.,0,-1,-1,.,-1,.,-1,.,-1,.,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,"COLLEGE STATION ISD",.,.,-1,.,0,-1,.,.,0,.,-1,.,0,.,-1,.,0,-1,.,.
"'021902",.,.,.,.,.,.,.,.,.,.,.,.,36.4,-1,.,.,-1,-1,.,.,-1,.,.,.,42.9,-1,.,.,42.9,-1,.,.,.,.,.,.,"BRYAN ISD",.,.,.,.,-1,-1,.,.,-1,-1,.,.,-1,-1,.,.,-1,.,.,.
"'022004",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"TERLINGUA CSD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'022901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ALPINE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'022902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MARATHON ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'022903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SAN VICENTE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'023902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SILVERTON ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'024901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BROOKS COUNTY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'025901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BANGS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'025902",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BROWNWOOD ISD",.,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.
"'025904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BLANKET ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'025905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MAY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'025906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ZEPHYR ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'025908",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BROOKESMITH ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'025909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"EARLY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'026901",.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,"CALDWELL ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.
"'026902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SOMERVILLE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'026903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SNOOK ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'027903",.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,"BURNET CISD",.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,-1,.,.
"'027904",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,"MARBLE FALLS ISD",.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'028902",.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,"LOCKHART ISD",.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'028903",.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,"LULING ISD",.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'028906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PRAIRIE LEA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'029901",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,"CALHOUN COUNTY ISD",.,.,.,.,-1,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.
"'030901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"CROSS PLAINS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'030902",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.,"CLYDE CISD",.,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.
"'030903",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,"BAIRD ISD",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.
"'030906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"EULA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'031901",-1,.,.,.,.,.,.,.,.,.,.,.,32.3,8.7,-1,-1,.,.,.,.,25.5,10.5,-1,-1,28,20,-1,-1,32.8,8.7,-1,-1,.,.,.,.,"BROWNSVILLE ISD",77.8,-1,-1,-1,35.1,0,-1,.,25,10,-1,-1,0,0,-1,.,.,.,.,.
"'031903",.,.,.,.,.,-1,.,.,.,.,.,.,11.1,14.3,-1,.,.,.,.,.,7.1,-1,-1,.,8.3,-1,-1,.,11.1,20,-1,.,.,.,.,.,"HARLINGEN CISD",.,.,.,.,16.7,-1,-1,.,0,0,-1,.,0,0,-1,.,.,-1,.,.
"'031905",.,.,.,.,.,.,.,.,.,.,.,.,80,-1,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,80,-1,.,.,.,.,.,.,"LA FERIA ISD",.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'031906",.,.,.,.,.,.,.,.,.,.,.,.,18.8,0,-1,.,-1,.,.,.,20,-1,-1,.,28.6,-1,-1,.,23.1,0,-1,.,-1,.,.,.,"LOS FRESNOS CISD",-1,.,-1,.,11.1,-1,-1,.,0,0,-1,.,0,0,.,.,.,.,.,.
"'031909",.,.,.,.,.,.,-1,.,.,.,.,.,-1,.,-1,.,.,.,.,.,-1,.,.,.,.,.,-1,.,-1,.,.,.,.,.,.,.,"POINT ISABEL ISD",-1,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.
"'031911",.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,"RIO HONDO ISD",.,.,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.
"'031912",.,.,.,.,.,.,.,.,.,.,.,.,40,.,-1,.,.,.,.,.,40,.,-1,.,-1,.,-1,.,40,.,-1,.,.,.,.,.,"SAN BENITO CISD",-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.
"'031913",.,.,.,.,.,.,.,.,.,.,.,.,40,.,-1,-1,.,.,.,.,40,.,-1,-1,-1,.,.,-1,40,.,-1,-1,.,.,.,.,"SANTA MARIA ISD",-1,.,-1,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,.,.,.,.
"'031914",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SANTA ROSA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'031916",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SOUTH TEXAS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'032902",.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,.,.,.,.,.,.,.,.,"PITTSBURG ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.
"'033901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"GROOM ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'033902",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,-1,.,.,.,.,.,-1,.,.,.,-1,.,.,.,-1,.,.,.,.,.,.,.,"PANHANDLE ISD",.,.,.,.,.,.,-1,.,-1,.,-1,.,-1,.,.,.,.,.,-1,.
"'033904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"WHITE DEER ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'034901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ATLANTA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'034902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"AVINGER ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'034903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HUGHES SPRINGS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'034905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"LINDEN-KILDARE CISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'034906",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MCLEOD ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'034907",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"QUEEN CITY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'034909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BLOOMBURG ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'035901",.,.,.,.,.,.,.,.,.,.,.,.,-1,.,.,-1,.,.,.,.,-1,.,.,-1,-1,.,.,-1,-1,.,.,-1,-1,.,.,-1,"DIMMITT ISD",.,.,.,.,-1,.,.,-1,-1,.,.,-1,.,.,.,.,.,.,.,.
"'035902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HART ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'035903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"NAZARETH ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'036901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ANAHUAC ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'036902",.,.,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,.,.,.,.,.,.,.,.,-1,-1,.,.,-1,.,.,.,.,.,.,.,"BARBERS HILL ISD",.,.,.,.,-1,.,.,.,.,.,.,.,.,-1,.,.,-1,-1,.,.
"'036903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"EAST CHAMBERS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'037901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ALTO ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'037904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"JACKSONVILLE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'037907",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"RUSK ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'037908",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"NEW SUMMERFIELD ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'037909",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"WELLS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'038901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"CHILDRESS ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'039902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"HENRIETTA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'039903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"PETROLIA CISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'039904",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BELLEVUE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'039905",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MIDWAY ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'040901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"MORTON ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'040902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"WHITEFACE CISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'041901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"BRONTE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'041902",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"ROBERT LEE ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'042901",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"COLEMAN ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"'042903",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,"SANTA ANNA ISD",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
